,comment,toxic
69,"Нет, пожалуй, отвечу развернутее. Представь, что тебя ограбили. Ты идешь в частную полицию, выкладываешь бабки на стол, говоришь о случившемся. Полицаи по мере своих сил расследуют инцидент. Они дают тебе список потенциальных преступников, вероятнее всего, из одного человека. Ты приходишь к человеку, говоришь, так и так, чувак, я тебя подозреваю, хочу судиться. Если он тоже хочет судиться, то он идет с тобой в выбранный вами обоими суд. Если не хочет, то ты обращаешься в суд со своей доказательной базой, он приходит к человеку и обращается с подобной фразой: вы, гражданин такой-то такой-то, обвиняетесь по тому-то тому-то. Пройдите с нами в зал суда для разбирательств, или мы, согласно статье такой-то такой-то действующего законодательства имеем право вас наказать. Если человек соглашается, то вы судитесь. Если он виновен, то ему назначается наказание и он оплачивает издержки суда, если нет, то ты оплачиваешь издержки суда и идешь искать преступника дальше силами частной полиции. Звучит пиздец как плохо, да? Ну так вот, РЫНОЧЕК ПОРЕШАЕТ так, чтобы все работало куда эффективнее. Вместо хождения по частным полицейским бюро ты, скорее всего, возьмешь у одного или нескольких из них страховку на случай примененных в твою сторону правонарушений. Для них профит в том, что они будут стабильно получать от тебя бабки, для тебя - в том, что ты можешь спать спокойно. Сами частные полицаи уже заключают контракты с судами, чтобы избежать анальной ебли с твоим хождением туда-сюда, взамен они сами ходят по предполагаемым преступникам и предлагают им пройти судиться. На самом рынке останутся наиболее эффективные суды и полицаи, потому что неэффективным никто не захочет заносить бабки. Остается вопрос: в чем тебе профит ходить в суд, если ты в жизни и мухи не обидел, кроме избежания наказания, которого ты и не заслуживаешь? И даже это порешает рыночек, потому что, очевидно, суды, которые компенсируют или даже поощряют тебя за то, чтобы ты к ним ходил, даже если ты невиновен, будут выглядеть более привлекательно. Надеюсь, на вопрос я ответил. К слову, продажные суды не будут популярны как раз из-за своей продажности, потому что выгоду от этого получает только искодатель, и то только тогда, когда дает иск ни за что. А государство из судов не вырастет как раз потому, что сами суды не будут обладать оружием, им будут обладать полицаи. Ну и конкуренция, опять же. Апелляции подавать в высшие суды, которые будут работать по тем же принципам.
",0.0
70,"Тупые хуесосы с двача продолжают детонировать от упоминаний о совке в последнем обзоре. Найс. Хуесосы видят то, то что хотят видеть хотя политическая составляющая в последнем обзоре была упомянута вскользь В то время когда Евген упрекает создателей в откровенно хуёвом дубляже, откровенно хуёвой актёрской игре, в откровенно хуёвом повествовании и криво написанном сценарии ну про первоисточник я и говорить ничего не хочу, если хотите посмотреть хорошую российскую экранизацию, то посмотрите Поколение П от Гинзбурга, который был без поддержки фонда кино и прочтите Пелевина и сразу всё поймёте, как это уровень, до которого Черновику, как до Китая раком В обзоре Бэд уже плюёт и на расхождение сюжета фильма с книгой и начинает кидать совершенно обоснованные предъявы создателям не смотря на первоисточник. Тут блять и обсуждать нечего и доказывать анонам ничего не надо, нормальный двачер поймёт, что хотел бэд в обзоре донести, а тупой хуесос увидит как всегда грязноштанника пидорашку совочек либераху ил кого там ещё, что обычно существует в его манямире. Обзор действительно годный относительно прошлого что в плане сюжета, что в плане декораций, эффектов и съёмок - Женя продолжает расти. Зы. Лично я проиграл как минимум раза 4 за весь обзор, годные моменты есть.
",4.0
71,"Нахуй этого неадеквата.
",5.0
72,"Какой гейт отъехал? Текст автора внимательно читаем и не тупим
",0.0
73,"Тамбовская духовка тебе кулички!
",5.0
74,"Не парься, я когда аналогичный пост про кресло запилил, целый час писал, мне сказали збс реклама и пост набрал около 10 плюсов. Но там был не сраный ремешок, а почти целое кресло за 20 тысяч, и три доставки. Так что если ты, как и я, хотел выразить благодарность выведя пост в горячее - у тебя получилось. А то название напишешь, так сразу какой-то умалишенный модера позовет. Не напишешь - скажут ребусы. Забей на них )
",6.0
75,"Просто сложно представить себе производство на котором обычные работяги приходят на час позже и уходят на столько же раньше, без потерь для предприятия. За это собственно у работяги обычно и почасовая оплата, офисники же все в основном на окладе.
",0.0
76,"тебе таблетки тоже не помогают?
",5.0
77,"Шизики, вот вам ещё для подогрева пердаков.
",6.0
78,"Еще у нас выявляют трещины с помощью белой краски и магнитной краски, потом прислоняют большой магнит и трещины проявляются. Не знаю как этот метод называется, у нас швы труб до 300мм им проверяют
",0.0
79,"22 и 407 рассчитаны на разную мощность компрессора: 407 требует 42 бар, а 22-му достаточно 26. Так же, скорее всего и с фреонами для холодильника.
",0.0
80,"У вас проблема с тем, что вы говорите бог, а подразумеваете христианство. Говорите атеист, а подразумеваете не христианин. Потому что не представляете, что иначе бывает. Никаких проблем. Я и с мусульманами спорил. И со всякими йогоистами ) Но разница между религиями - настолько незначительна, что даже разбираться ни в чём особо не надо. Вот вы когда последний раз миссионера-еврея видели? Так я и христианина-миссионера не видел. Большинство религий, а уж тем более личных культов и суеверий не включают в себя галочку ты должен обратить неверных . Включают. Пускай и не столь явную. Вон, кришнаиты к себе народ изо всех сил завлекают. Ещё раз, вы катите бочку исключительно на одну определённую церковь и на одно определённое течение, да и то, разбираясь в нём как Мойша в Битлз и подчерпнув знания не иначе как из низкопробных агитплакатов. Это - в чистом виде слепая, ничем не подкреплённая вера, о чём вам и толкуют. Хоть и без примеси мистического чувства, да. Я родился в стране, где превалирует православие - на него, соответственно, бочку и качу. Просто потому, что оно ближе, и большинство моих оппонентов веруют в христа. Но если попадётся индуист, иудей, католик или синтоист - без проблем буду катить бочку и на них. Мусульмане уже попадались - катил. Так что не выдумывайте ерунды. Все религии одинаковы.
",0.0
81,"Ты кнеш остроумный, для такого остроумия нужен острый ум. Давай-ка им воспользуемся, раз уж он у тебя есть. Информация о твоей работе отправляется в пенсионный фонд и в налоговую, по которым легко определить сколько лет ты проработал, а трудовая книжка это рудимент ОП! Мы молодцы, мы это сделали, браво!
",0.0
82,"Делай людям добро - и тебе всегда будет больно и стыдно. Унижай, бей, обманывай - и будешь уважаемым человеком, тебе будут кланяться и звать по имени-отчеству. Что тебе больше нравится - выбирай сам. Выбрал боль и стыд - спасибо, дорогой. Мне меньше достанется.
",0.0
83,"пздц ты крохобор, стоило так позориться? Учитывая что ты покупаешь пуховики в снежной королеве, а не на рынке!
",5.0
84,"которые не могут собраться больше чем в количестве 3 человек так как очко перед товарищем майором жим-жим? Опять у нас далбоёб с РЯЯЯ ПАЧИМУ ИЩО КРЕМЛЬ ШТУРМАМ НИ ВЗЯЛИ ССЫКУНЫ? нарисовался? Что ты лично, охуевший наш, сделал? Хочется сидеть всем на жопе в интернете спокойно, и чтобы кто-то за тебя всё сделал. У нас тут миллионы силовиков с понятным отношением к национализму, а ты тут кукарекаешь про гыгыканье с мемесов . В Российской Империи некоторые меньшинства тупо учили свой родной язык десятилетиями под светом фонаря ночью, потому что выступление было бы самоубийственно и отозвалось бы только смертями лучших людей и ссылками в Сибирь, как было 2 раза с польскими восстаниями. Люди просто ждали своего часа ГОДАМИ, укрепляя базу и готовясь. Жирдяй сделал полезное дело- замутил первый удобоваримый для интеллигентов (а не только для бритоголового пролетариата с германофилией) русский национализм, ставший по-настоящему популярным и обсуждаемым у молодежи. Теперь вот ещё и школота подтягивается через мемы. И ты хочешь всех этих людей швырнуть майору на кукан? Такую хуйню только провокатор может высирать, ящитаю. В нынешних условиях нужно заниматься популяризацией идей, что успешно и происходит. Всё остальное равносильно самоубийственной атаке кучки маняпартизан на государство, которое закончится только гибелью самих партизан или пожизненными сроками для них.
",4.0
85,"Полно таких дебилов, незнающих тему.
",5.0
86,"именно, ты, сука, просто не понимаешь - в нашей семье кто то все время в разездах
",5.0
87,"И ты все такой же даун
",5.0
88,"И СЕЛ НА БУТЫЛКУ РУСАК ПРОСНУВШИСЬ В ЧЕЧЕНСКОМ ПЛЕНУ ИЗВИНИТСЯ ОН БЫЛ БЫ РАД ДА НЕ ПРОЩАЕТ ГОРЕЦ ЕГО
",1.0
89,"Вы, наверное, из Хабаровска!)
",0.0
90,"Замуж тебе надо барыня...
",0.0
91,"Я не знаю что у тебя. Сходи к врачу, если сомневаешься.
",0.0
92,"Ты понимаешь что ты шизоид?
",5.0
93,"Ну я смотрю - давай, облей меня говном.
",5.0
94,"Именно, что пишут кешбек 1 , а не 1 рубль со 100 рублей. Дальше, да, в пару предложений расписывают, что кешбек на самом деле не 1 . И это как бы совсем не без допусловий Ну в повышенных кешбеках у них что-то оверпрайснутое всегда типа , у которых этот кешбек не перекрывает оверпрайс относительно rzd.ru. разве что на первую покупку во вкусвилле был полезен кеш, но повышенный кеш на одну покупку в продуктовом - это прям совсем несерьёзно.
",0.0
95,"Возможно, ты красивая
",0.0
96,"нглийские ученые из Центра исследований свиней SRUC в Мидлотиане используют технологию распознавания лиц для оценки эмоционального состояния свиней, сообщает The Daily Mail. Исследование поддерживается Научно-исследовательским советом по биотехнологиям и биологическим наукам (BBSRC), а также специалистами по точному животноводству. Ученые хотят по выражению морды понимать, всем ли довольна хрюшка и не больна ли она. В дальнейшем на основе этого исследования создадут инструмент, который будет контролировать выражения лиц у свиней и предупреждать фермеров о любых проблемах с их здоровьем. smi2 Горячий чай смертельно опасен Собака ждала хозяев на даче, но они так и не приехали (фото) В российских реках начала ловиться морская рыба Раннее выявление проблем со здоровьем свиней дает фермерам потенциал для улучшения состояния животных, дает возможность быстро решить любые проблемы и применять индивидуальное лечение для отдельных особей , объясняет доктор Эмма Бакстер из SRUC. Как показали предыдущие исследования, у свиней очень выразительные морды. Ими они могут подавать сигнал о своих намерениях другим свиньям. Доказано также, что они используют различные гримасы при боли и стрессе. В своем проекте ученые делают трехмерные и двухмерные изображения популяции размножающихся свиноматок. Группа животных находится в типичных ситуациях, которые могут привести к различным эмоциональным состояниям. Они могут демонстрировать различные гримасы, связанные с болью, а после еды, наоборот, выглядят спокойными и довольными. Полученные изображения обрабатываются в Бристольском центре Университета Западной Англии. Тут создают различные методы машинного обучения для автоматической идентификации всего спектра эмоций, передаваемых определенными выражениями лица. Сосредоточив внимание на морде, мы надеемся создать ориентированную на животных методику оценки общего состояния. Это позволит понять, как краткосрочные эмоциональные реакции, так и долгосрочные индивидуальные настроения животных , рассказала доктор Эмма Бакстер. После проверки методов команда разработает технологию для использования на фермах. Предполагается, что отдельные свиноматки в больших стадах будут постоянно под контролем с помощью этого нового инструмента. Наша работа уже продемонстрировала точность 97 при распознавании выражений у свиней. Технология распознавания лиц дает возможность реализовать недорогие, незаметные и практичные средства для биометрической идентификации отдельных животных на ферме. Нашим следующим шагом будет использование обучаемых алгоритмов для автоматического распознавания выражений, связанных с основными эмоциональными состояниями, такими как счастье или страдание , пояснил профессор Мелвин Смит из Бристольской робототехнической лаборатории. Ранее стало известно, что в Китае местный инженер построил мини-приют для кошек, который оснащен системой распознавания мордочек.
",0.0
97,"добби свободен!!!!!!!!!!!!!!!!!!!! ох спасибо тебе добрая внученька!!!!!!!!!!!!!!!!!
",0.0
98,"Что-то таких идиотов защищающих всякое непотребство стало слишком много в комментах. Может это те же что и в политике за проплаченные комментарии работают?
",6.0
99,"тебе лучше не знать,малыш.
",0.0
100,"Ты забыл его хохлом обозвать, подсос.
",5.0
101,"Наша дума от слова пиздить. поэтому её можно называться пиздя
",6.0
102,"Чуркабес плес, иди трусы на рынке продавай, чмырь
",1.0
103,"Модераторы странные зверьки - меня за посыл одного индивида, он меня работать, а я его тоже, только туда где ему привычнее... Забанили... А когда я звал модеров на одного типчика зовущих всех дибилами и с вопросом от куда они берутся, на мой ответ что вот одного точно его мамка родила - забанили меня...
",0.0
104,"Что,ссыкотоно за свой язык отвечать? На моё мыло пиши фуфлыжник...
",5.0
105,"Хорош лицемерить вражина! Ты сам из того племени, потому и доволен всем! А укольчик подыхающему кролику от чумки за 1500 руб это совершенно нормально!!! При зарплате у пол-страны в 10 тыщ.
",5.0
106,"ути пути твоя подруга у тебя в штанах видит, но разве мне это тебе говорить? ты и сам это прекрасно знаешь
",5.0
107,"Зашел сказать, что хохлы подзалупный гной, которому скоро придет триумфальный пиздец. у меня все.
",1.0
108,"Господи, ты же больной человек. Мы уже выяснили, что это нихуя не умеешь в английский, потому что приволок ссылку на статью которая прямо опровергает твои слова, и не смог процитировать выдержки из этой статьи, только потому что НИХУЯ не умеешь в английский. А по поводу эстонского языка, я повторю для присутствующих здесь господ, что если бы я был лахтодыркой, мне не составило бы труда говорить через гуглопереводчик, ведь ты, говно, нихуя не сможешь оценить качество перевода. Утомил ты. Тебе лечиться нужно.
",5.0
109,"Бросила. Во время каждого занятия получала небольшие травмы, в последний раз при выполнении Сурьи Намаскар растянула связки на руке, боль была такая, что в первые секунды на перелом подумала. Теперь дома занимаюсь без напряга со стороны тренера.
",0.0
110,"Сука мои глаза кровоточат, про какой там нахуй тубик тебе посты делать, пяздуй за букварем срочно!!!!
",5.0
111,"У тебя в домашке мало букв, а мне надо много.
",0.0
112,"ну хз, значит до меня не дошел весь великий посыл в таком фильме, как груз-200. Значит я быдло тупое
",6.0
113,"Эта картинка старше тебя, свинюш. Будущее больно отдаленное выходит.
",5.0
114,"Хуясе тут ОП жопки школьникам разорвал. Прямо в клочья, лол. Самое потешное, что никто из этих ололо-тгавителей, ИРЛ не сможет затравить даже соседского кота, ибо ссыклив вне интернетов, как последнее чмо. Вот и находят утешение в анонимном петушином кукареканьи. Надо же как то анус охлаждать.
",6.0
115,"скальпы местного населения за деньги не принимали, не резали руки детям за отказ их родителей работать и невыполнение плана, Какой потрясающе удобный подход. А еще не набивали соломой трупы врагов и не насиловали предметы домашнего обихода туземцев. Что не добавили и эти два пункта? Я привел тебе факты многочисленных убийств аборигенов ради захвата их земель или подчинения их народов, а ты ловко выкручиваешься тем, что вырезали-то не всех поголовно, а всего лишь непокорные аулы, концлагери строили не для конкретных народов, а всех подряд, да и резервации не строили - ведь просто выкинуть из поезда в сухую степь Средней Азии полмиллиона насильно депортированных из родных краев вайнахов и сколько-то там других народов было гораздо проще, чем что-то для них еще и строить. Войны были есть и будут Это была экспансия, а не война. Разницу чуешь, или мне снова разжевать? Так что нехер пытаться обелить то, что было. Не сразу заметил, что ты еще и автор этого поста, где жалуешься на мертвое образование и при этом сам с околонулевой осведомленностью в истории пытаешься с кем-то еще спорить.
",4.0
116,"Оставь это клиповое говно для детей пролетариев, дурачок. И больше не лезь в чужие разговоры со своими глупостями, метапостный дебс.
",5.0
117,"Но зачем ты его поднимаешь, пятачок? Ведь всё равно ничего не изменится, как не менялось десять тысяч тредов. Крымотред так и будет висеть в топе пораши, а ты будешь гореть.
",4.0
118,"Ты ее с коклюшем делал или только дифтерия-столбняк? Если с коклюшем, то больше не делай, у многих реакция на него, значит, у тебя тоже. В следующий раз (через 10 лет) делай только дифтерия-столбняк.
",0.0
119,"Это ты мерзкий же, я отрицал пока не стало известно официально об этом.
",5.0
120,"Этот сайт - дно Рунета, большинство его посетителей - выродки и отбросы общества. Немногие интеллигенты, ищущие отдушину в анонимном общении также втягиваются в местную маргинальную культуру и быстро деградируют до среднестатистического анонимуса. Так что не ищите здесь уважительного общения без обсценной лексики, его нет.
",6.0
121,"Почему тян поколения Z предпочитают небелых мужчин? Объективных доказательств в пользу твоего утверждения нет, так что это всего лишь твои бредовые маняфантазии на фоне больного разума, и возможно, ненависти к младшему поколению. Не тратьте на этого дурачка время.
",6.0
122,"Я его в жопу ебал, его твич, его подписчиков и его контент для сынов дерьма. Поделом, тупая пизда с раздутым счв теперь навечено в бане. Благо твич сейчас чистит биомусор, спасибо ему
",6.0
123,"Посмотрим, как начнешь визжать, когда начнут безосновательно тереть твои треды.
",5.0
124,"Идите на х... со своей сраной кошкой
",6.0
125,"мне поебать на его финансы и кто он. Не пизди, шлюха. Выкладывай своё ебло, мы поржем.
",5.0
126,"Я так пишу потому что делаю это с телефона. И ради кого тут собственно редактурой заниматься? Судя по тому что аргументация у тебя скатилась к передергиванию, считаю что твой интеллект в этом споре себя исчерпал, мальчик.
",5.0
127,"Личного фотографа лидера Северной Кореи Ким Чен Ына исключили из партии и уволили с должности, сообщает Daily NK. По данным издания, речь идет о мужчине по фамилии Ри, который работает в Korean Art Film Studio. Отмечается, что фотограф лишился должности за то, что он снимал Ким Чен Ына слишком близко. Ри нарушил правило съемки лидера КНДР в день выборов в Верховное народное собрание КНДР. Напомним, в конце февраля глава Северной Кореи Ким Чен Ын был замечен курящим на перроне вокзала. А в 2015 году Ким Чен Ын сменил прическу и форму бровей.
",0.0
128,"Духу не хватает им в лицо сказать? Только в интернете оскорблять их готов? Тогда ты трусливое быдло.
",5.0
129,"НУ ВОТ, ЕРОХИН УЖЕ СВАЛИЛ ЗА БУГОР, А ТЫ ВС СИДИШЬ КАК СЫЧ В СВОЕМ ПО И СИСЯНУ ДОНАТИШЬ!!
",4.0
130,"Если такое мнение тебя утешает - можешь продолжать верить в него, тут нет ничего постыдного. Вмешиваясь в комментирование я лишь предположил, что здесь кто-нибудь хотел узнать фактическое положение вещей, а не просто выразить плюсиками солидарность сходным поверхностным воззрениям.
",0.0
131,"пойти кромсать неповинных в твоих проблемах людей? Чувак собирался устроить колумбайн в школе, в которой учился. Легко могу представить наличие упырей среди одноклассников, учителей, и руководства школы. Ну то есть неповинных в проблемах в данном случае неприменимо. Как минимум переехать в Москву или Питер. Как максимум - свалить заграницу. Как быстро может себе позволить это выпускник РАНХиГС, и сколько у него времени останется чтобы спокойно наслаждаться жизнью? В то время когда по телевизору - золотые унитазы, катание собачек на бизнес-джетах и прочая сладкая жизнь , в том числе сверстников, которые родились с бриллиантовой ложкой в жопе ?
",0.0
132,"Глубоко пофигу? Тем не менее ты вывалил историю на всеобщее обозрение. Для чего? Для одобрения какой ты крутой нескандалящий? Или ищешь одобрения в убеждении что вокруг все педорасы?
",5.0
133,"Ты что, спишь, я тебе за руль звоню
",0.0
134,"Но отбитый тут ты. Ну нафантазировал, ошибся, обострение у меня весеннее, но нахуя ты мне отвечаешь то тогда? Чтобы убедить себя в том, что я не прав? Да, пожалуйста, я не сопротивляюсь, ты прав во все.
",5.0
135,"С каких пор порноскримеры нарушают что-то В том и проблемы, что не нарушают ничего, и нашелся умник, начавший этим злоупотреблять и использовать тред для своего увеселения. Свобода ебать, что хочет то и вставляет. Иди поезд-тред создай, зацени свободу. Я уже не говорю об аниме треде, где трут постоянно и хуй пойми что и за что. Там никакой проблемы с удалением постов нет, а как из вебм треда удалить десяток постов, и въебать банхаммером по голове одному (одному, блядь!) дебилу, так это нет, отказывают клавиатуры, мышки, пропадает интернет и отсыхают руки. Ну не могут эти ебаные мочераторы почистить говно там, где их просят. Сделай вебмки тише и будет тебе Щасте. Серьезно? Я должен дрочить звук каждый раз, потому что какой-то дебил решил перед мамкой похвастаться, как он траллит двощи заброской скримеров? Ты гениален, ответ 10 10 просто. Так может и вайпы не трогать, ну не понравился тред кому-то, или просто захотелось повеселиться. Пусть остальные скрывают посты, куклу настраивают.
",6.0
136,"Он про марихуану и вообще дуй отсюда, пока твой батя новый аккаунт не спалил.
",5.0
137,"Высрался ты конечно знатно. Словесный понос продемонстрировал. Всей лахтой эту пафосную хуитку сочиняли? А по сути то сказать тебе и нечего. Я считаю что пидорахи должны покинуть политач.
",4.0
138,"Ты бы и к собаке пристроился.
",5.0
139,"Почему у тебя все красное? Ты дальтоник? (автор данного комментария не собирался никого оскорблять.)
",0.0
140,"И что, это сделал Почта России? Или все же неадекват в ее рядах?
",0.0
