agilitycharacter,strengthcharacter,intelligencecharacter,universalcharacter
,Sven 8054595004,,
,,,Invoker 8054595004
,Doom 8054595004,,
,,Lion 8054595004,
,Ogre Magi 8054595004,,
Meepo 8054595004,,,
Templar Assassin 8054595004,,,
,,,Magnus 8054595004
,,Shadow Demon 8054595004,
,,Crystal Maiden 8054595004,
Ursa 8054665063,,,
,,,Venomancer 8054665063
,Doom 8054665063,,
,Tusk 8054665063,,
,,Pugna 8054665063,
,,,Clockwerk 8054665063
Razor 8054665063,,,
,,,Pangolier 8054665063
,Dragon Knight 8054665063,,
,,Lina 8054665063,
,Tusk 8054761555,,
,,,Magnus 8054761555
,Tiny 8054761555,,
,,,Batrider 8054761555
Drow Ranger 8054761555,,,
Gyrocopter 8054761555,,,
Ember Spirit 8054761555,,,
,Doom 8054761555,,
,Earthshaker 8054761555,,
,,Disruptor 8054761555,
,Lifestealer 8054846912,,
Sniper 8054846912,,,
,Mars 8054846912,,
,,Muerta 8054846912,
,Elder Titan 8054846912,,
Templar Assassin 8054846912,,,
,,,Invoker 8054846912
,Tiny 8054846912,,
,,Pugna 8054846912,
,Ogre Magi 8054846912,,
,,,Phoenix 8054936496
,Wraith King 8054936496,,
,,,Sand King 8054936496
,Bristleback 8054936496,,
,,Rubick 8054936496,
,,Lich 8054936496,
,,,Magnus 8054936496
,Earth Spirit 8054936496,,
,,,Techies 8054936496
Drow Ranger 8054936496,,,
,Dragon Knight 8055088008,,
,,,Pangolier 8055088008
Terrorblade 8055088008,,,
,,,Clockwerk 8055088008
,,,Phoenix 8055088008
Meepo 8055088008,,,
,,Storm Spirit 8055088008,
,Doom 8055088008,,
,,,Batrider 8055088008
,Ogre Magi 8055088008,,
,Alchemist 8055187485,,
,,Keeper Of The Light 8055187485,
,,Death Prophet 8055187485,
,,Muerta 8055187485,
,Tusk 8055187485,,
,,,Chen 8055187485
,,Necrophos 8055187485,
,,,Invoker 8055187485
,,,Batrider 8055187485
,Dragon Knight 8055187485,,
Morphling 8055284959,,,
,Earth Spirit 8055284959,,
,Doom 8055284959,,
,,Muerta 8055284959,
,Undying 8055284959,,
,,,Phoenix 8055284959
,Wraith King 8055284959,,
,,Lina 8055284959,
,,,Magnus 8055284959
,,Shadow Demon 8055284959,
,,,Chen 8055385235
,Dawnbreaker 8055385235,,
Ember Spirit 8055385235,,,
,Tusk 8055385235,,
Morphling 8055385235,,,
,Alchemist 8055385235,,
,,Storm Spirit 8055385235,
,Timbersaw 8055385235,,
,,,Clockwerk 8055385235
,,Pugna 8055385235,
Morphling 8055489134,,,
Monkey King 8055489134,,,
,,,Beastmaster 8055489134
Hoodwink 8055489134,,,
,Ogre Magi 8055489134,,
,,,Batrider 8055489134
Weaver 8055489134,,,
,,Lina 8055489134,
Razor 8055489134,,,
,Tusk 8055489134,,
,,,Beastmaster 8054594883
,,,Techies 8054594883
,Earth Spirit 8054594883,,
Terrorblade 8054594883,,,
,,,Phoenix 8054594883
,Alchemist 8054594883,,
,Doom 8054594883,,
,,Pugna 8054594883,
,Dragon Knight 8054594883,,
,,Muerta 8054594883,
Gyrocopter 8054644399,,,
,Ogre Magi 8054644399,,
,Tiny 8054644399,,
,,Shadow Demon 8054644399,
,Doom 8054644399,,
,Dragon Knight 8054644399,,
,,,Batrider 8054644399
,Centaur Warrunner 8054644399,,
Weaver 8054644399,,,
,,,Invoker 8054644399
,,Jakiro 8054705111,
,Slardar 8054705111,,
,,,Invoker 8054705111
Bounty Hunter 8054705111,,,
,Dragon Knight 8054705111,,
,Bristleback 8054705111,,
Hoodwink 8054705111,,,
,,Puck 8054705111,
,Alchemist 8054705111,,
,,Enchantress 8054705111,
Terrorblade 8054769333,,,
,,,Batrider 8054769333
,,,Magnus 8054769333
,,,Snapfire 8054769333
,,Puck 8054769333,
Morphling 8054769333,,,
,Tidehunter 8054769333,,
,,,Phoenix 8054769333
,,Lina 8054769333,
,,Shadow Demon 8054769333,
,,,Clockwerk 8054861702
,Dawnbreaker 8054861702,,
,,,Invoker 8054861702
,,Muerta 8054861702,
Razor 8054861702,,,
Shadow Fiend 8054861702,,,
,Ogre Magi 8054861702,,
,Earth Spirit 8054861702,,
Gyrocopter 8054861702,,,
,,,Beastmaster 8054861702
,Bristleback 8054965291,,
Hoodwink 8054965291,,,
,,Zeus 8054965291,
Razor 8054965291,,,
,,,Clockwerk 8054965291
Drow Ranger 8054965291,,,
,,,Chen 8054965291
,Primal Beast 8054965291,,
,,,Batrider 8054965291
Viper 8054965291,,,
,Alchemist 8055089269,,
,Tidehunter 8055089269,,
,,,Phoenix 8055089269
Sniper 8055089269,,,
,,Shadow Demon 8055089269,
Naga Siren 8055089269,,,
,Timbersaw 8055089269,,
,,Lina 8055089269,
,,,Dark Willow 8055089269
Monkey King 8055089269,,,
Morphling 8055231335,,,
,,Lich 8055231335,
,,,Invoker 8055231335
,,Muerta 8055231335,
,,,Magnus 8055231335
,,,Beastmaster 8055231335
,,,Phoenix 8055231335
,,,Void Spirit 8055231335
Terrorblade 8055231335,,,
,,Enchantress 8055231335,
,,Jakiro 8055285102,
,Primal Beast 8055285102,,
,,Nature'S Prophet 8055285102,
,Tusk 8055285102,,
Monkey King 8055285102,,,
,Alchemist 8055285102,,
,,Pugna 8055285102,
,,,Beastmaster 8055285102
,,Muerta 8055285102,
Viper 8055285102,,,
,,,Magnus 8055384655
,,Lich 8055384655,
,,Queen Of Pain 8055384655,
,,,Dark Willow 8055384655
,Dawnbreaker 8055384655,,
,Sven 8055384655,,
,Doom 8055384655,,
,,Pugna 8055384655,
,Timbersaw 8055384655,,
,,Rubick 8055384655,
,Chaos Knight 8056476228,,
,,,Batrider 8056476228
Monkey King 8056476228,,,
,,Pugna 8056476228,
,,,Magnus 8056476228
,Alchemist 8056476228,,
,,Lina 8056476228,
,,,Beastmaster 8056476228
,,Rubick 8056476228,
,,,Clockwerk 8056476228
Slark 8056585402,,,
,Tiny 8056585402,,
,,,Beastmaster 8056585402
,,Lion 8056585402,
,,,Chen 8056585402
Morphling 8056585402,,,
,Tusk 8056585402,,
Sniper 8056585402,,,
,,,Batrider 8056585402
,Primal Beast 8056585402,,
Terrorblade 8056728116,,,
,,,Batrider 8056728116
Sniper 8056728116,,,
,,Lion 8056728116,
,Earth Spirit 8056728116,,
,,,Magnus 8056728116
,Huskar 8056728116,,
,Tidehunter 8056728116,,
,,,Clockwerk 8056728116
,,Shadow Demon 8056728116,
,,Crystal Maiden 8056889752,
,Alchemist 8056889752,,
,,,Sand King 8056889752
,Bristleback 8056889752,,
Hoodwink 8056889752,,,
,Dawnbreaker 8056889752,,
,,,Batrider 8056889752
,Tiny 8056889752,,
Morphling 8056889752,,,
,Ogre Magi 8056889752,,
,Dawnbreaker 8056960913,,
,Tusk 8056960913,,
,Earth Spirit 8056960913,,
Drow Ranger 8056960913,,,
,,Shadow Demon 8056960913,
,,Enchantress 8056960913,
,Alchemist 8056960913,,
,Timbersaw 8056960913,,
,Bristleback 8056960913,,
,,Lion 8056960913,
,Sven 8054595004,,
,,,Invoker 8054595004
,Doom 8054595004,,
,,Lion 8054595004,
,Ogre Magi 8054595004,,
Meepo 8054595004,,,
Templar Assassin 8054595004,,,
,,,Magnus 8054595004
,,Shadow Demon 8054595004,
,,Crystal Maiden 8054595004,
Ursa 8054665063,,,
,,,Venomancer 8054665063
,Doom 8054665063,,
,Tusk 8054665063,,
,,Pugna 8054665063,
,,,Clockwerk 8054665063
Razor 8054665063,,,
,,,Pangolier 8054665063
,Dragon Knight 8054665063,,
,,Lina 8054665063,
,Tusk 8054761555,,
,,,Magnus 8054761555
,Tiny 8054761555,,
,,,Batrider 8054761555
Drow Ranger 8054761555,,,
Gyrocopter 8054761555,,,
Ember Spirit 8054761555,,,
,Doom 8054761555,,
,Earthshaker 8054761555,,
,,Disruptor 8054761555,
,Lifestealer 8054846912,,
Sniper 8054846912,,,
,Mars 8054846912,,
,,Muerta 8054846912,
,Elder Titan 8054846912,,
Templar Assassin 8054846912,,,
,,,Invoker 8054846912
,Tiny 8054846912,,
,,Pugna 8054846912,
,Ogre Magi 8054846912,,
,,,Phoenix 8054936496
,Wraith King 8054936496,,
,,,Sand King 8054936496
,Bristleback 8054936496,,
,,Rubick 8054936496,
,,Lich 8054936496,
,,,Magnus 8054936496
,Earth Spirit 8054936496,,
,,,Techies 8054936496
Drow Ranger 8054936496,,,
,Dragon Knight 8055088008,,
,,,Pangolier 8055088008
Terrorblade 8055088008,,,
,,,Clockwerk 8055088008
,,,Phoenix 8055088008
Meepo 8055088008,,,
,,Storm Spirit 8055088008,
,Doom 8055088008,,
,,,Batrider 8055088008
,Ogre Magi 8055088008,,
,Alchemist 8055187485,,
,,Keeper Of The Light 8055187485,
,,Death Prophet 8055187485,
,,Muerta 8055187485,
,Tusk 8055187485,,
,,,Chen 8055187485
,,Necrophos 8055187485,
,,,Invoker 8055187485
,,,Batrider 8055187485
,Dragon Knight 8055187485,,
Morphling 8055284959,,,
,Earth Spirit 8055284959,,
,Doom 8055284959,,
,,Muerta 8055284959,
,Undying 8055284959,,
,,,Phoenix 8055284959
,Wraith King 8055284959,,
,,Lina 8055284959,
,,,Magnus 8055284959
,,Shadow Demon 8055284959,
,,,Chen 8055385235
,Dawnbreaker 8055385235,,
Ember Spirit 8055385235,,,
,Tusk 8055385235,,
Morphling 8055385235,,,
,Alchemist 8055385235,,
,,Storm Spirit 8055385235,
,Timbersaw 8055385235,,
,,,Clockwerk 8055385235
,,Pugna 8055385235,
Morphling 8055489134,,,
Monkey King 8055489134,,,
,,,Beastmaster 8055489134
Hoodwink 8055489134,,,
,Ogre Magi 8055489134,,
,,,Batrider 8055489134
Weaver 8055489134,,,
,,Lina 8055489134,
Razor 8055489134,,,
,Tusk 8055489134,,
,,,Beastmaster 8054594883
,,,Techies 8054594883
,Earth Spirit 8054594883,,
Terrorblade 8054594883,,,
,,,Phoenix 8054594883
,Alchemist 8054594883,,
,Doom 8054594883,,
,,Pugna 8054594883,
,Dragon Knight 8054594883,,
,,Muerta 8054594883,
Gyrocopter 8054644399,,,
,Ogre Magi 8054644399,,
,Tiny 8054644399,,
,,Shadow Demon 8054644399,
,Doom 8054644399,,
,Dragon Knight 8054644399,,
,,,Batrider 8054644399
,Centaur Warrunner 8054644399,,
Weaver 8054644399,,,
,,,Invoker 8054644399
,,Jakiro 8054705111,
,Slardar 8054705111,,
,,,Invoker 8054705111
Bounty Hunter 8054705111,,,
,Dragon Knight 8054705111,,
,Bristleback 8054705111,,
Hoodwink 8054705111,,,
,,Puck 8054705111,
,Alchemist 8054705111,,
,,Enchantress 8054705111,
Terrorblade 8054769333,,,
,,,Batrider 8054769333
,,,Magnus 8054769333
,,,Snapfire 8054769333
,,Puck 8054769333,
Morphling 8054769333,,,
,Tidehunter 8054769333,,
,,,Phoenix 8054769333
,,Lina 8054769333,
,,Shadow Demon 8054769333,
,,,Clockwerk 8054861702
,Dawnbreaker 8054861702,,
,,,Invoker 8054861702
,,Muerta 8054861702,
Razor 8054861702,,,
Shadow Fiend 8054861702,,,
,Ogre Magi 8054861702,,
,Earth Spirit 8054861702,,
Gyrocopter 8054861702,,,
,,,Beastmaster 8054861702
,Bristleback 8054965291,,
Hoodwink 8054965291,,,
,,Zeus 8054965291,
Razor 8054965291,,,
,,,Clockwerk 8054965291
Drow Ranger 8054965291,,,
,,,Chen 8054965291
,Primal Beast 8054965291,,
,,,Batrider 8054965291
Viper 8054965291,,,
,Alchemist 8055089269,,
,Tidehunter 8055089269,,
,,,Phoenix 8055089269
Sniper 8055089269,,,
,,Shadow Demon 8055089269,
Naga Siren 8055089269,,,
,Timbersaw 8055089269,,
,,Lina 8055089269,
,,,Dark Willow 8055089269
Monkey King 8055089269,,,
Morphling 8055231335,,,
,,Lich 8055231335,
,,,Invoker 8055231335
,,Muerta 8055231335,
,,,Magnus 8055231335
,,,Beastmaster 8055231335
,,,Phoenix 8055231335
,,,Void Spirit 8055231335
Terrorblade 8055231335,,,
,,Enchantress 8055231335,
,,Jakiro 8055285102,
,Primal Beast 8055285102,,
,,Nature'S Prophet 8055285102,
,Tusk 8055285102,,
Monkey King 8055285102,,,
,Alchemist 8055285102,,
,,Pugna 8055285102,
,,,Beastmaster 8055285102
,,Muerta 8055285102,
Viper 8055285102,,,
,,,Magnus 8055384655
,,Lich 8055384655,
,,Queen Of Pain 8055384655,
,,,Dark Willow 8055384655
,Dawnbreaker 8055384655,,
,Sven 8055384655,,
,Doom 8055384655,,
,,Pugna 8055384655,
,Timbersaw 8055384655,,
,,Rubick 8055384655,
,Chaos Knight 8056476228,,
,,,Batrider 8056476228
Monkey King 8056476228,,,
,,Pugna 8056476228,
,,,Magnus 8056476228
,Alchemist 8056476228,,
,,Lina 8056476228,
,,,Beastmaster 8056476228
,,Rubick 8056476228,
,,,Clockwerk 8056476228
Slark 8056585402,,,
,Tiny 8056585402,,
,,,Beastmaster 8056585402
,,Lion 8056585402,
,,,Chen 8056585402
Morphling 8056585402,,,
,Tusk 8056585402,,
Sniper 8056585402,,,
,,,Batrider 8056585402
,Primal Beast 8056585402,,
Terrorblade 8056728116,,,
,,,Batrider 8056728116
Sniper 8056728116,,,
,,Lion 8056728116,
,Earth Spirit 8056728116,,
,,,Magnus 8056728116
,Huskar 8056728116,,
,Tidehunter 8056728116,,
,,,Clockwerk 8056728116
,,Shadow Demon 8056728116,
,,Crystal Maiden 8056889752,
,Alchemist 8056889752,,
,,,Sand King 8056889752
,Bristleback 8056889752,,
Hoodwink 8056889752,,,
,Dawnbreaker 8056889752,,
,,,Batrider 8056889752
,Tiny 8056889752,,
Morphling 8056889752,,,
,Ogre Magi 8056889752,,
,Dawnbreaker 8056960913,,
,Tusk 8056960913,,
,Earth Spirit 8056960913,,
Drow Ranger 8056960913,,,
,,Shadow Demon 8056960913,
,,Enchantress 8056960913,
,Alchemist 8056960913,,
,Timbersaw 8056960913,,
,Bristleback 8056960913,,
,,Lion 8056960913,
,,Enchantress 8057125074,
,Alchemist 8057125074,,
,,Lina 8057125074,
,,,Magnus 8057125074
,Tusk 8057125074,,
,Mars 8057125074,,
Hoodwink 8057125074,,,
,Dragon Knight 8057125074,,
Morphling 8057125074,,,
,,,Chen 8057125074
,Earth Spirit 8057869002,,
,,,Magnus 8057869002
Sniper 8057869002,,,
,,Muerta 8057869002,
Drow Ranger 8057869002,,,
,Dragon Knight 8057869002,,
,Huskar 8057869002,,
,Timbersaw 8057869002,,
,,Lion 8057869002,
,,Enchantress 8057869002,
Slark 8058023635,,,
,Earth Spirit 8058023635,,
,Primal Beast 8058023635,,
,,,Batrider 8058023635
,,Enchantress 8058023635,
,,Pugna 8058023635,
Terrorblade 8058023635,,,
,,Storm Spirit 8058023635,
,,Muerta 8058023635,
Razor 8058023635,,,
,,,Magnus 8058124306
,Earth Spirit 8058124306,,
,Mars 8058124306,,
,,Muerta 8058124306,
,,,Phoenix 8058124306
,,Pugna 8058124306,
Terrorblade 8058124306,,,
,Tiny 8058124306,,
,,,Techies 8058124306
Gyrocopter 8058124306,,,
Morphling 8058249772,,,
,,Enchantress 8058249772,
,Dawnbreaker 8058249772,,
,,Rubick 8058249772,
,,Queen Of Pain 8058249772,
,,Pugna 8058249772,
,Wraith King 8058249772,,
,,,Magnus 8058249772
,,,Broodmother 8058249772
,Tusk 8058249772,,
,,,Phoenix 8058358558
,,,Magnus 8058358558
Razor 8058358558,,,
,Mars 8058358558,,
,,Lion 8058358558,
,Dragon Knight 8058358558,,
,,Shadow Demon 8058358558,
,Centaur Warrunner 8058358558,,
,,Muerta 8058358558,
,,Lina 8058358558,
,,Shadow Demon 8059269676,
,,,Beastmaster 8059269676
Sniper 8059269676,,,
Gyrocopter 8059269676,,,
,Alchemist 8059269676,,
,Ogre Magi 8059269676,,
Terrorblade 8059269676,,,
,,,Invoker 8059269676
,,,Dark Willow 8059269676
Razor 8059269676,,,
,,Pugna 8059395636,
Terrorblade 8059395636,,,
,Tiny 8059395636,,
,Doom 8059395636,,
Templar Assassin 8059395636,,,
,,,Chen 8059395636
,Centaur Warrunner 8059395636,,
,Earth Spirit 8059395636,,
,,Muerta 8059395636,
Razor 8059395636,,,
Ursa 8059599922,,,
,,,Sand King 8059599922
,Primal Beast 8059599922,,
,,Muerta 8059599922,
,,Pugna 8059599922,
Templar Assassin 8059599922,,,
,,Enchantress 8059599922,
Terrorblade 8059599922,,,
,,,Magnus 8059599922
,,,Invoker 8059599922
Drow Ranger 8059708053,,,
,Ogre Magi 8059708053,,
,Dawnbreaker 8059708053,,
,,Muerta 8059708053,
,,Nature'S Prophet 8059708053,
Ursa 8059708053,,,
,,Queen Of Pain 8059708053,
Terrorblade 8059708053,,,
,,,Clockwerk 8059708053
,,Pugna 8059708053,
,,,Phoenix 8060944213
,,,Beastmaster 8060944213
,Tiny 8060944213,,
,,Muerta 8060944213,
,Alchemist 8060944213,,
Monkey King 8060944213,,,
,,Storm Spirit 8060944213,
,Doom 8060944213,,
Hoodwink 8060944213,,,
,,Crystal Maiden 8060944213,
Templar Assassin 8061100515,,,
,Timbersaw 8061100515,,
,Doom 8061100515,,
,,,Batrider 8061100515
,Ogre Magi 8061100515,,
,,Enchantress 8061100515,
,,,Enigma 8061100515
,,,Sand King 8061100515
,,Muerta 8061100515,
,Dragon Knight 8061100515,,
Morphling 8061294743,,,
,,,Brewmaster 8061294743
,Elder Titan 8061294743,,
,,Lina 8061294743,
,,,Magnus 8061294743
Ursa 8061294743,,,
,,Zeus 8061294743,
,,,Beastmaster 8061294743
,,Muerta 8061294743,
Naga Siren 8061294743,,,
Morphling 8061396001,,,
,,,Venomancer 8061396001
,Timbersaw 8061396001,,
,,Shadow Shaman 8061396001,
,,Enchantress 8061396001,
Monkey King 8061396001,,,
,Tidehunter 8061396001,,
,,,Batrider 8061396001
,Dragon Knight 8061396001,,
,,,Magnus 8061396001
Morphling 8062807181,,,
,,,Lycan 8062807181
Naga Siren 8062807181,,,
,,Lina 8062807181,
,,Rubick 8062807181,
Drow Ranger 8062807181,,,
,,,Pangolier 8062807181
,,,Magnus 8062807181
,,Muerta 8062807181,
,,Pugna 8062807181,
Morphling 8062945076,,,
,,,Invoker 8062945076
,Centaur Warrunner 8062945076,,
,,Shadow Demon 8062945076,
,Ogre Magi 8062945076,,
Spectre 8062945076,,,
,,,Visage 8062945076
,,,Phoenix 8062945076
,,Puck 8062945076,
,,,Magnus 8062945076
Ursa 8063069899,,,
,,,Beastmaster 8063069899
,,,Batrider 8063069899
,,Lion 8063069899,
,,Storm Spirit 8063069899,
,Alchemist 8063069899,,
,,,Pangolier 8063069899
,,,Brewmaster 8063069899
,,Muerta 8063069899,
,,Crystal Maiden 8063069899,
,Earth Spirit 8063200834,,
,Doom 8063200834,,
,,Muerta 8063200834,
Morphling 8063200834,,,
Naga Siren 8063200834,,,
,Sven 8063200834,,
,,,Visage 8063200834
,,Shadow Demon 8063200834,
,Tusk 8063200834,,
,,Lina 8063200834,
Phantom Assassin 8041499047,,,
,Primal Beast 8041499047,,
,,Warlock 8041499047,
,Huskar 8041499047,,
,,Rubick 8041499047,
Monkey King 8041499047,,,
,,,Nyx Assassin 8041499047
,Bristleback 8041499047,,
Templar Assassin 8041499047,,,
,,,Invoker 8041499047
Phantom Assassin 8041499047,,,
,Primal Beast 8041499047,,
,,Warlock 8041499047,
,Huskar 8041499047,,
,,Rubick 8041499047,
Monkey King 8041499047,,,
,,,Nyx Assassin 8041499047
,Bristleback 8041499047,,
Templar Assassin 8041499047,,,
,,,Invoker 8041499047
Phantom Assassin 8041499047,,,
,Primal Beast 8041499047,,
,,Warlock 8041499047,
,Huskar 8041499047,,
,,Rubick 8041499047,
Monkey King 8041499047,,,
,,,Nyx Assassin 8041499047
,Bristleback 8041499047,,
Templar Assassin 8041499047,,,
,,,Invoker 8041499047
