team,character,position,aspect
radiant 8054595004,Sven 8054595004,Carry,Wrath of God
radiant 8054595004,Invoker 8054595004,Mid,Elitist
radiant 8054595004,Doom 8054595004,Off Lane,Gluttony
radiant 8054595004,Lion 8054595004,Semi Support,Fist of Death
radiant 8054595004,Ogre Magi 8054595004,Full Support,Learning Curve
dire 8054595004,Meepo 8054595004,Carry,Pack Rat
dire 8054595004,Templar Assassin 8054595004,Mid,Refractor
dire 8054595004,Magnus 8054595004,Off Lane,Reverse Polarity
dire 8054595004,Shadow Demon 8054595004,Semi Support,Promulgate
dire 8054595004,Crystal Maiden 8054595004,Full Support,Frozen Expanse
radiant 8054665063,Ursa 8054665063,Carry,Bear Down
radiant 8054665063,Venomancer 8054665063,Mid,Plague Carrier
radiant 8054665063,Doom 8054665063,Off Lane,Devil's Bargain
radiant 8054665063,Tusk 8054665063,Semi Support,Tag Team
radiant 8054665063,Pugna 8054665063,Full Support,Siphoning Ward
dire 8054665063,Clockwerk 8054665063,Full Support,Expanded Armature
dire 8054665063,Razor 8054665063,Carry,Thunderhead
dire 8054665063,Pangolier 8054665063,Mid,Double Jump
dire 8054665063,Dragon Knight 8054665063,Off Lane,Fire Dragon
dire 8054665063,Lina 8054665063,Semi Support,Slow Burn
radiant 8054761555,Tusk 8054761555,Full Support,Tag Team
radiant 8054761555,Magnus 8054761555,Off Lane,Reverse Polarity
radiant 8054761555,Tiny 8054761555,Mid,Crash Landing
radiant 8054761555,Batrider 8054761555,Semi Support,Arsonist
radiant 8054761555,Drow Ranger 8054761555,Carry,Sidestep
dire 8054761555,Gyrocopter 8054761555,Carry,Secondary Strikes
dire 8054761555,Ember Spirit 8054761555,Mid,Double Impact
dire 8054761555,Doom 8054761555,Off Lane,Devil's Bargain
dire 8054761555,Earthshaker 8054761555,Semi Support,Tectonic Buildup
dire 8054761555,Disruptor 8054761555,Full Support,Thunderstorm
radiant 8054846912,Lifestealer 8054846912,Carry,Rage
radiant 8054846912,Sniper 8054846912,Mid,Ghillie Suit
radiant 8054846912,Mars 8054846912,Off Lane,Blood Sport
radiant 8054846912,Muerta 8054846912,Semi Support,Dance of the Dead
radiant 8054846912,Elder Titan 8054846912,Full Support,Deconstruction
dire 8054846912,Templar Assassin 8054846912,Carry,Voidblades
dire 8054846912,Invoker 8054846912,Mid,Elitist
dire 8054846912,Tiny 8054846912,Off Lane,Crash Landing
dire 8054846912,Pugna 8054846912,Semi Support,Siphoning Ward
dire 8054846912,Ogre Magi 8054846912,Full Support,Learning Curve
radiant 8054936496,Phoenix 8054936496,Full Support,Dying Light
radiant 8054936496,Wraith King 8054936496,Carry,Bone Guard
radiant 8054936496,Sand King 8054936496,Mid,Dust Devil
radiant 8054936496,Bristleback 8054936496,Off Lane,Seeing Red
radiant 8054936496,Rubick 8054936496,Semi Support,Frugal Filch
dire 8054936496,Lich 8054936496,Full Support,Growing Cold
dire 8054936496,Magnus 8054936496,Off Lane,Reverse Polarity
dire 8054936496,Earth Spirit 8054936496,Mid,Resonance
dire 8054936496,Techies 8054936496,Semi Support,Squee's Scope
dire 8054936496,Drow Ranger 8054936496,Carry,Sidestep
radiant 8055088008,Dragon Knight 8055088008,Carry,Fire Dragon
radiant 8055088008,Pangolier 8055088008,Mid,Thunderbolt
radiant 8055088008,Terrorblade 8055088008,Off Lane,Condemned
radiant 8055088008,Clockwerk 8055088008,Semi Support,Expanded Armature
radiant 8055088008,Phoenix 8055088008,Full Support,Dying Light
dire 8055088008,Meepo 8055088008,Carry,Pack Rat
dire 8055088008,Storm Spirit 8055088008,Mid,Static Slide
dire 8055088008,Doom 8055088008,Off Lane,Gluttony
dire 8055088008,Batrider 8055088008,Semi Support,Arsonist
dire 8055088008,Ogre Magi 8055088008,Full Support,Learning Curve
radiant 8055187485,Alchemist 8055187485,Carry,Seed Money
radiant 8055187485,Keeper of the Light 8055187485,Mid,Solar Bind
radiant 8055187485,Death Prophet 8055187485,Off Lane,Mourning Ritual
radiant 8055187485,Muerta 8055187485,Full Support,Dance of the Dead
radiant 8055187485,Tusk 8055187485,Semi Support,Tag Team
dire 8055187485,Chen 8055187485,Full Support,Satyr Convert
dire 8055187485,Necrophos 8055187485,Off Lane,Profane Potency
dire 8055187485,Invoker 8055187485,Mid,Elitist
dire 8055187485,Batrider 8055187485,Semi Support,Arsonist
dire 8055187485,Dragon Knight 8055187485,Carry,Fire Dragon
radiant 8055284959,Morphling 8055284959,Carry,Ebb
radiant 8055284959,Earth Spirit 8055284959,Mid,Resonance
radiant 8055284959,Doom 8055284959,Off Lane,Devil's Bargain
radiant 8055284959,Muerta 8055284959,Semi Support,Dance of the Dead
radiant 8055284959,Undying 8055284959,Full Support,Ripped
dire 8055284959,Phoenix 8055284959,Full Support,Dying Light
dire 8055284959,Wraith King 8055284959,Carry,Bone Guard
dire 8055284959,Lina 8055284959,Mid,Thermal Runaway
dire 8055284959,Magnus 8055284959,Off Lane,Reverse Polarity
dire 8055284959,Shadow Demon 8055284959,Semi Support,Shadow Servant
radiant 8055385235,Chen 8055385235,Full Support,Satyr Convert
radiant 8055385235,Dawnbreaker 8055385235,Off Lane,Solar Charged
radiant 8055385235,Ember Spirit 8055385235,Mid,Double Impact
radiant 8055385235,Tusk 8055385235,Semi Support,
radiant 8055385235,Morphling 8055385235,Carry,Ebb
dire 8055385235,Alchemist 8055385235,Carry,Seed Money
dire 8055385235,Storm Spirit 8055385235,Mid,Static Slide
dire 8055385235,Timbersaw 8055385235,Off Lane,Twisted Chakram
dire 8055385235,Clockwerk 8055385235,Semi Support,Expanded Armature
dire 8055385235,Pugna 8055385235,Full Support,Siphoning Ward
radiant 8055489134,Morphling 8055489134,Carry,Ebb
radiant 8055489134,Monkey King 8055489134,Mid,Simian Stride
radiant 8055489134,Beastmaster 8055489134,Off Lane,Beast Mode
radiant 8055489134,Hoodwink 8055489134,Semi Support,Treebounce Trickshot
radiant 8055489134,Ogre Magi 8055489134,Full Support,Learning Curve
dire 8055489134,Batrider 8055489134,Full Support,Stoked
dire 8055489134,Weaver 8055489134,Carry,Skitterstep
dire 8055489134,Lina 8055489134,Mid,Thermal Runaway
dire 8055489134,Razor 8055489134,Off Lane,Thunderhead
dire 8055489134,Tusk 8055489134,Semi Support,Tag Team
radiant 8054594883,Beastmaster 8054594883,Off Lane,Beast Mode
radiant 8054594883,Techies 8054594883,Semi Support,Spoon's Stash
radiant 8054594883,Earth Spirit 8054594883,Mid,Resonance
radiant 8054594883,Terrorblade 8054594883,Carry,Condemned
radiant 8054594883,Phoenix 8054594883,Full Support,Dying Light
dire 8054594883,Alchemist 8054594883,Carry,Seed Money
dire 8054594883,Doom 8054594883,Off Lane,Devil's Bargain
dire 8054594883,Pugna 8054594883,Full Support,Siphoning Ward
dire 8054594883,Dragon Knight 8054594883,Mid,Fire Dragon
dire 8054594883,Muerta 8054594883,Semi Support,Dance of the Dead
radiant 8054644399,Gyrocopter 8054644399,Carry,Afterburner
radiant 8054644399,Ogre Magi 8054644399,Full Support,Learning Curve
radiant 8054644399,Tiny 8054644399,Mid,Crash Landing
radiant 8054644399,Shadow Demon 8054644399,Semi Support,Promulgate
radiant 8054644399,Doom 8054644399,Off Lane,Gluttony
dire 8054644399,Dragon Knight 8054644399,Carry,Fire Dragon
dire 8054644399,Batrider 8054644399,Full Support,Stoked
dire 8054644399,Centaur Warrunner 8054644399,Off Lane,Horsepower
dire 8054644399,Weaver 8054644399,Semi Support,Skitterstep
dire 8054644399,Invoker 8054644399,Mid,Elitist
radiant 8054705111,Jakiro 8054705111,Full Support,Liquid Frost
radiant 8054705111,Slardar 8054705111,Off Lane,Leg Day
radiant 8054705111,Invoker 8054705111,Mid,Elitist
radiant 8054705111,Bounty Hunter 8054705111,Semi Support,Through and Through
radiant 8054705111,Dragon Knight 8054705111,Carry,Fire Dragon
dire 8054705111,Bristleback 8054705111,Off Lane,Snot Rocket
dire 8054705111,Hoodwink 8054705111,Semi Support,Treebounce Trickshot
dire 8054705111,Puck 8054705111,Mid,Jostling Rift
dire 8054705111,Alchemist 8054705111,Carry,Seed Money
dire 8054705111,Enchantress 8054705111,Full Support,Spellbound
radiant 8054769333,Terrorblade 8054769333,Carry,Condemned
radiant 8054769333,Batrider 8054769333,Full Support,Stoked
radiant 8054769333,Magnus 8054769333,Off Lane,Reverse Polarity
radiant 8054769333,Snapfire 8054769333,Semi Support,Full Bore
radiant 8054769333,Puck 8054769333,Mid,Jostling Rift
dire 8054769333,Morphling 8054769333,Carry,Ebb
dire 8054769333,Tidehunter 8054769333,Off Lane,Kraken Swell
dire 8054769333,Phoenix 8054769333,Full Support,Dying Light
dire 8054769333,Lina 8054769333,Mid,Thermal Runaway
dire 8054769333,Shadow Demon 8054769333,Semi Support,Shadow Servant
radiant 8054861702,Clockwerk 8054861702,Full Support,Expanded Armature
radiant 8054861702,Dawnbreaker 8054861702,Off Lane,Solar Charged
radiant 8054861702,Invoker 8054861702,Mid,Elitist
radiant 8054861702,Muerta 8054861702,Semi Support,Dance of the Dead
radiant 8054861702,Razor 8054861702,Carry,Thunderhead
dire 8054861702,Shadow Fiend 8054861702,Carry,Lasting Presence
dire 8054861702,Ogre Magi 8054861702,Full Support,Learning Curve
dire 8054861702,Earth Spirit 8054861702,Mid,Resonance
dire 8054861702,Gyrocopter 8054861702,Semi Support,Secondary Strikes
dire 8054861702,Beastmaster 8054861702,Off Lane,Wild Hunt
radiant 8054965291,Bristleback 8054965291,Off Lane,Snot Rocket
radiant 8054965291,Hoodwink 8054965291,Semi Support,Treebounce Trickshot
radiant 8054965291,Zeus 8054965291,Mid,Divine Rampage
radiant 8054965291,Razor 8054965291,Carry,Thunderhead
radiant 8054965291,Clockwerk 8054965291,Full Support,Expanded Armature
dire 8054965291,Drow Ranger 8054965291,Carry,Sidestep
dire 8054965291,Chen 8054965291,Full Support,Satyr Convert
dire 8054965291,Primal Beast 8054965291,Off Lane,Romp n' Stomp
dire 8054965291,Batrider 8054965291,Semi Support,Stoked
dire 8054965291,Viper 8054965291,Mid,Poison Burst
radiant 8055089269,Alchemist 8055089269,Carry,Seed Money
radiant 8055089269,Tidehunter 8055089269,Off Lane,Kraken Swell
radiant 8055089269,Phoenix 8055089269,Full Support,Dying Light
radiant 8055089269,Sniper 8055089269,Mid,Ghillie Suit
radiant 8055089269,Shadow Demon 8055089269,Semi Support,Promulgate
dire 8055089269,Naga Siren 8055089269,Full Support,Deluge
dire 8055089269,Timbersaw 8055089269,Off Lane,Shredder
dire 8055089269,Lina 8055089269,Mid,Thermal Runaway
dire 8055089269,Dark Willow 8055089269,Semi Support,Throwing Shade
dire 8055089269,Monkey King 8055089269,Carry,Simian Stride
radiant 8055231335,Morphling 8055231335,Carry,Ebb
radiant 8055231335,Lich 8055231335,Full Support,Growing Cold
radiant 8055231335,Invoker 8055231335,Mid,Elitist
radiant 8055231335,Muerta 8055231335,Semi Support,Dance of the Dead
radiant 8055231335,Magnus 8055231335,Off Lane,Reverse Polarity
dire 8055231335,Beastmaster 8055231335,Off Lane,Wild Hunt
dire 8055231335,Phoenix 8055231335,Semi Support,Hotspot
dire 8055231335,Void Spirit 8055231335,Mid,Sanctuary
dire 8055231335,Terrorblade 8055231335,Carry,Condemned
dire 8055231335,Enchantress 8055231335,Full Support,Spellbound
radiant 8055285102,Jakiro 8055285102,Full Support,Liquid Frost
radiant 8055285102,Primal Beast 8055285102,Off Lane,Romp n' Stomp
radiant 8055285102,Nature's Prophet 8055285102,Mid,Ironwood Treant
radiant 8055285102,Tusk 8055285102,Semi Support,Tag Team
radiant 8055285102,Monkey King 8055285102,Carry,Simian Stride
dire 8055285102,Alchemist 8055285102,Carry,Seed Money
dire 8055285102,Pugna 8055285102,Full Support,Siphoning Ward
dire 8055285102,Beastmaster 8055285102,Off Lane,Wild Hunt
dire 8055285102,Muerta 8055285102,Semi Support,Dance of the Dead
dire 8055285102,Viper 8055285102,Mid,Poison Burst
radiant 8055384655,Magnus 8055384655,Carry,Reverse Polarity
radiant 8055384655,Lich 8055384655,Full Support,Growing Cold
radiant 8055384655,Queen of Pain 8055384655,Mid,Masochist
radiant 8055384655,Dark Willow 8055384655,Semi Support,Throwing Shade
radiant 8055384655,Dawnbreaker 8055384655,Off Lane,Solar Charged
dire 8055384655,Sven 8055384655,Carry,Wrath of God
dire 8055384655,Doom 8055384655,Off Lane,Devil's Bargain
dire 8055384655,Pugna 8055384655,Full Support,Siphoning Ward
dire 8055384655,Timbersaw 8055384655,Mid,Twisted Chakram
dire 8055384655,Rubick 8055384655,Semi Support,Arcane Accumulation
radiant 8056476228,Chaos Knight 8056476228,Carry,Phantasmagoria
radiant 8056476228,Batrider 8056476228,Full Support,Stoked
radiant 8056476228,Monkey King 8056476228,Mid,Simian Stride
radiant 8056476228,Pugna 8056476228,Semi Support,Siphoning Ward
radiant 8056476228,Magnus 8056476228,Off Lane,Reverse Polarity
dire 8056476228,Alchemist 8056476228,Carry,Seed Money
dire 8056476228,Lina 8056476228,Mid,Thermal Runaway
dire 8056476228,Beastmaster 8056476228,Off Lane,Wild Hunt
dire 8056476228,Rubick 8056476228,Full Support,Frugal Filch
dire 8056476228,Clockwerk 8056476228,Semi Support,Expanded Armature
radiant 8056585402,Slark 8056585402,Carry,Leeching Leash
radiant 8056585402,Tiny 8056585402,Mid,Crash Landing
radiant 8056585402,Beastmaster 8056585402,Off Lane,Wild Hunt
radiant 8056585402,Lion 8056585402,Semi Support,Fist of Death
radiant 8056585402,Chen 8056585402,Full Support,Satyr Convert
dire 8056585402,Morphling 8056585402,Carry,Ebb
dire 8056585402,Tusk 8056585402,Full Support,Tag Team
dire 8056585402,Sniper 8056585402,Mid,Ghillie Suit
dire 8056585402,Batrider 8056585402,Semi Support,Stoked
dire 8056585402,Primal Beast 8056585402,Off Lane,Romp n' Stomp
radiant 8056728116,Terrorblade 8056728116,Carry,Condemned
radiant 8056728116,Batrider 8056728116,Full Support,Stoked
radiant 8056728116,Sniper 8056728116,Mid,Ghillie Suit
radiant 8056728116,Lion 8056728116,Semi Support,Fist of Death
radiant 8056728116,Earth Spirit 8056728116,Off Lane,Resonance
dire 8056728116,Magnus 8056728116,Carry,Reverse Polarity
dire 8056728116,Huskar 8056728116,Mid,Incendiary
dire 8056728116,Tidehunter 8056728116,Off Lane,Kraken Swell
dire 8056728116,Clockwerk 8056728116,Semi Support,Expanded Armature
dire 8056728116,Shadow Demon 8056728116,Full Support,Promulgate
radiant 8056889752,Crystal Maiden 8056889752,Full Support,Frozen Expanse
radiant 8056889752,Alchemist 8056889752,Carry,Seed Money
radiant 8056889752,Sand King 8056889752,Mid,Dust Devil
radiant 8056889752,Bristleback 8056889752,Off Lane,Seeing Red
radiant 8056889752,Hoodwink 8056889752,Semi Support,Treebounce Trickshot
dire 8056889752,Dawnbreaker 8056889752,Off Lane,Solar Charged
dire 8056889752,Batrider 8056889752,Semi Support,Stoked
dire 8056889752,Tiny 8056889752,Mid,Crash Landing
dire 8056889752,Morphling 8056889752,Carry,Ebb
dire 8056889752,Ogre Magi 8056889752,Full Support,Learning Curve
radiant 8054595004,Sven 8054595004,Carry,Wrath of God
radiant 8054595004,Invoker 8054595004,Mid,Elitist
radiant 8054595004,Doom 8054595004,Off Lane,Gluttony
radiant 8054595004,Lion 8054595004,Semi Support,Fist of Death
radiant 8054595004,Ogre Magi 8054595004,Full Support,Learning Curve
dire 8054595004,Meepo 8054595004,Carry,Pack Rat
dire 8054595004,Templar Assassin 8054595004,Mid,Refractor
dire 8054595004,Magnus 8054595004,Off Lane,Reverse Polarity
dire 8054595004,Shadow Demon 8054595004,Semi Support,Promulgate
dire 8054595004,Crystal Maiden 8054595004,Full Support,Frozen Expanse
radiant 8054665063,Ursa 8054665063,Carry,Bear Down
radiant 8054665063,Venomancer 8054665063,Mid,Plague Carrier
radiant 8054665063,Doom 8054665063,Off Lane,Devil's Bargain
radiant 8054665063,Tusk 8054665063,Semi Support,Tag Team
radiant 8054665063,Pugna 8054665063,Full Support,Siphoning Ward
dire 8054665063,Clockwerk 8054665063,Full Support,Expanded Armature
dire 8054665063,Razor 8054665063,Carry,Thunderhead
dire 8054665063,Pangolier 8054665063,Mid,Double Jump
dire 8054665063,Dragon Knight 8054665063,Off Lane,Fire Dragon
dire 8054665063,Lina 8054665063,Semi Support,Slow Burn
radiant 8054761555,Tusk 8054761555,Full Support,Tag Team
radiant 8054761555,Magnus 8054761555,Off Lane,Reverse Polarity
radiant 8054761555,Tiny 8054761555,Mid,Crash Landing
radiant 8054761555,Batrider 8054761555,Semi Support,Arsonist
radiant 8054761555,Drow Ranger 8054761555,Carry,Sidestep
dire 8054761555,Gyrocopter 8054761555,Carry,Secondary Strikes
dire 8054761555,Ember Spirit 8054761555,Mid,Double Impact
dire 8054761555,Doom 8054761555,Off Lane,Devil's Bargain
dire 8054761555,Earthshaker 8054761555,Semi Support,Tectonic Buildup
dire 8054761555,Disruptor 8054761555,Full Support,Thunderstorm
radiant 8054846912,Lifestealer 8054846912,Carry,Rage
radiant 8054846912,Sniper 8054846912,Mid,Ghillie Suit
radiant 8054846912,Mars 8054846912,Off Lane,Blood Sport
radiant 8054846912,Muerta 8054846912,Semi Support,Dance of the Dead
radiant 8054846912,Elder Titan 8054846912,Full Support,Deconstruction
dire 8054846912,Templar Assassin 8054846912,Carry,Voidblades
dire 8054846912,Invoker 8054846912,Mid,Elitist
dire 8054846912,Tiny 8054846912,Off Lane,Crash Landing
dire 8054846912,Pugna 8054846912,Semi Support,Siphoning Ward
dire 8054846912,Ogre Magi 8054846912,Full Support,Learning Curve
radiant 8054936496,Phoenix 8054936496,Full Support,Dying Light
radiant 8054936496,Wraith King 8054936496,Carry,Bone Guard
radiant 8054936496,Sand King 8054936496,Mid,Dust Devil
radiant 8054936496,Bristleback 8054936496,Off Lane,Seeing Red
radiant 8054936496,Rubick 8054936496,Semi Support,Frugal Filch
dire 8054936496,Lich 8054936496,Full Support,Growing Cold
dire 8054936496,Magnus 8054936496,Off Lane,Reverse Polarity
dire 8054936496,Earth Spirit 8054936496,Mid,Resonance
dire 8054936496,Techies 8054936496,Semi Support,Squee's Scope
dire 8054936496,Drow Ranger 8054936496,Carry,Sidestep
radiant 8055088008,Dragon Knight 8055088008,Carry,Fire Dragon
radiant 8055088008,Pangolier 8055088008,Mid,Thunderbolt
radiant 8055088008,Terrorblade 8055088008,Off Lane,Condemned
radiant 8055088008,Clockwerk 8055088008,Semi Support,Expanded Armature
radiant 8055088008,Phoenix 8055088008,Full Support,Dying Light
dire 8055088008,Meepo 8055088008,Carry,Pack Rat
dire 8055088008,Storm Spirit 8055088008,Mid,Static Slide
dire 8055088008,Doom 8055088008,Off Lane,Gluttony
dire 8055088008,Batrider 8055088008,Semi Support,Arsonist
dire 8055088008,Ogre Magi 8055088008,Full Support,Learning Curve
radiant 8055187485,Alchemist 8055187485,Carry,Seed Money
radiant 8055187485,Keeper of the Light 8055187485,Mid,Solar Bind
radiant 8055187485,Death Prophet 8055187485,Off Lane,Mourning Ritual
radiant 8055187485,Muerta 8055187485,Full Support,Dance of the Dead
radiant 8055187485,Tusk 8055187485,Semi Support,Tag Team
dire 8055187485,Chen 8055187485,Full Support,Satyr Convert
dire 8055187485,Necrophos 8055187485,Off Lane,Profane Potency
dire 8055187485,Invoker 8055187485,Mid,Elitist
dire 8055187485,Batrider 8055187485,Semi Support,Arsonist
dire 8055187485,Dragon Knight 8055187485,Carry,Fire Dragon
radiant 8055284959,Morphling 8055284959,Carry,Ebb
radiant 8055284959,Earth Spirit 8055284959,Mid,Resonance
radiant 8055284959,Doom 8055284959,Off Lane,Devil's Bargain
radiant 8055284959,Muerta 8055284959,Semi Support,Dance of the Dead
radiant 8055284959,Undying 8055284959,Full Support,Ripped
dire 8055284959,Phoenix 8055284959,Full Support,Dying Light
dire 8055284959,Wraith King 8055284959,Carry,Bone Guard
dire 8055284959,Lina 8055284959,Mid,Thermal Runaway
dire 8055284959,Magnus 8055284959,Off Lane,Reverse Polarity
dire 8055284959,Shadow Demon 8055284959,Semi Support,Shadow Servant
radiant 8055385235,Chen 8055385235,Full Support,Satyr Convert
radiant 8055385235,Dawnbreaker 8055385235,Off Lane,Solar Charged
radiant 8055385235,Ember Spirit 8055385235,Mid,Double Impact
radiant 8055385235,Tusk 8055385235,Semi Support,Tag Team
radiant 8055385235,Morphling 8055385235,Carry,Ebb
dire 8055385235,Alchemist 8055385235,Carry,Seed Money
dire 8055385235,Storm Spirit 8055385235,Mid,Static Slide
dire 8055385235,Timbersaw 8055385235,Off Lane,Twisted Chakram
dire 8055385235,Clockwerk 8055385235,Semi Support,Expanded Armature
dire 8055385235,Pugna 8055385235,Full Support,Siphoning Ward
radiant 8055489134,Morphling 8055489134,Carry,Ebb
radiant 8055489134,Monkey King 8055489134,Mid,Simian Stride
radiant 8055489134,Beastmaster 8055489134,Off Lane,Beast Mode
radiant 8055489134,Hoodwink 8055489134,Semi Support,Treebounce Trickshot
radiant 8055489134,Ogre Magi 8055489134,Full Support,Learning Curve
