team,character,position,aspect
dire 8055489134,Batrider 8055489134,Full Support,Stoked
dire 8055489134,Weaver 8055489134,Carry,Skitterstep
dire 8055489134,Lina 8055489134,Mid,Thermal Runaway
dire 8055489134,Razor 8055489134,Off Lane,Thunderhead
dire 8055489134,Tusk 8055489134,Semi Support,Tag Team
radiant 8054594883,Beastmaster 8054594883,Off Lane,Beast Mode
radiant 8054594883,Techies 8054594883,Semi Support,Spoon's Stash
radiant 8054594883,Earth Spirit 8054594883,Mid,Resonance
radiant 8054594883,Terrorblade 8054594883,Carry,Condemned
radiant 8054594883,Phoenix 8054594883,Full Support,Dying Light
dire 8054594883,Alchemist 8054594883,Carry,Seed Money
dire 8054594883,Doom 8054594883,Off Lane,Devil's Bargain
dire 8054594883,Pugna 8054594883,Full Support,Siphoning Ward
dire 8054594883,Dragon Knight 8054594883,Mid,Fire Dragon
dire 8054594883,Muerta 8054594883,Semi Support,Dance of the Dead
radiant 8054644399,Gyrocopter 8054644399,Carry,Afterburner
radiant 8054644399,Ogre Magi 8054644399,Full Support,Learning Curve
radiant 8054644399,Tiny 8054644399,Mid,Crash Landing
radiant 8054644399,Shadow Demon 8054644399,Semi Support,Promulgate
radiant 8054644399,Doom 8054644399,Off Lane,Gluttony
dire 8054644399,Dragon Knight 8054644399,Carry,Fire Dragon
dire 8054644399,Batrider 8054644399,Full Support,Stoked
dire 8054644399,Centaur Warrunner 8054644399,Off Lane,Horsepower
dire 8054644399,Weaver 8054644399,Semi Support,Skitterstep
dire 8054644399,Invoker 8054644399,Mid,Elitist
radiant 8054705111,Jakiro 8054705111,Full Support,Liquid Frost
radiant 8054705111,Slardar 8054705111,Off Lane,Leg Day
radiant 8054705111,Invoker 8054705111,Mid,Elitist
radiant 8054705111,Bounty Hunter 8054705111,Semi Support,Through and Through
radiant 8054705111,Dragon Knight 8054705111,Carry,Fire Dragon
dire 8054705111,Bristleback 8054705111,Off Lane,Snot Rocket
dire 8054705111,Hoodwink 8054705111,Semi Support,Treebounce Trickshot
dire 8054705111,Puck 8054705111,Mid,Jostling Rift
dire 8054705111,Alchemist 8054705111,Carry,Seed Money
dire 8054705111,Enchantress 8054705111,Full Support,Spellbound
radiant 8054769333,Terrorblade 8054769333,Carry,Condemned
radiant 8054769333,Batrider 8054769333,Full Support,Stoked
radiant 8054769333,Magnus 8054769333,Off Lane,Reverse Polarity
radiant 8054769333,Snapfire 8054769333,Semi Support,Full Bore
radiant 8054769333,Puck 8054769333,Mid,Jostling Rift
dire 8054769333,Morphling 8054769333,Carry,Ebb
dire 8054769333,Tidehunter 8054769333,Off Lane,Kraken Swell
dire 8054769333,Phoenix 8054769333,Full Support,Dying Light
dire 8054769333,Lina 8054769333,Mid,Thermal Runaway
dire 8054769333,Shadow Demon 8054769333,Semi Support,Shadow Servant
radiant 8054861702,Clockwerk 8054861702,Full Support,Expanded Armature
radiant 8054861702,Dawnbreaker 8054861702,Off Lane,Solar Charged
radiant 8054861702,Invoker 8054861702,Mid,Elitist
radiant 8054861702,Muerta 8054861702,Semi Support,Dance of the Dead
radiant 8054861702,Razor 8054861702,Carry,Thunderhead
dire 8054861702,Shadow Fiend 8054861702,Carry,Lasting Presence
dire 8054861702,Ogre Magi 8054861702,Full Support,Learning Curve
dire 8054861702,Earth Spirit 8054861702,Mid,Resonance
dire 8054861702,Gyrocopter 8054861702,Semi Support,Secondary Strikes
dire 8054861702,Beastmaster 8054861702,Off Lane,Wild Hunt
radiant 8054965291,Bristleback 8054965291,Off Lane,Snot Rocket
radiant 8054965291,Hoodwink 8054965291,Semi Support,Treebounce Trickshot
radiant 8054965291,Zeus 8054965291,Mid,Divine Rampage
radiant 8054965291,Razor 8054965291,Carry,Thunderhead
radiant 8054965291,Clockwerk 8054965291,Full Support,Expanded Armature
dire 8054965291,Drow Ranger 8054965291,Carry,Sidestep
dire 8054965291,Chen 8054965291,Full Support,Satyr Convert
dire 8054965291,Primal Beast 8054965291,Off Lane,Romp n' Stomp
dire 8054965291,Batrider 8054965291,Semi Support,Stoked
dire 8054965291,Viper 8054965291,Mid,Poison Burst
radiant 8055089269,Alchemist 8055089269,Carry,Seed Money
radiant 8055089269,Tidehunter 8055089269,Off Lane,Kraken Swell
radiant 8055089269,Phoenix 8055089269,Full Support,Dying Light
radiant 8055089269,Sniper 8055089269,Mid,Ghillie Suit
radiant 8055089269,Shadow Demon 8055089269,Semi Support,Promulgate
dire 8055089269,Naga Siren 8055089269,Full Support,Deluge
dire 8055089269,Timbersaw 8055089269,Off Lane,Shredder
dire 8055089269,Lina 8055089269,Mid,Thermal Runaway
dire 8055089269,Dark Willow 8055089269,Semi Support,Throwing Shade
dire 8055089269,Monkey King 8055089269,Carry,Simian Stride
radiant 8055231335,Morphling 8055231335,Carry,Ebb
radiant 8055231335,Lich 8055231335,Full Support,Growing Cold
radiant 8055231335,Invoker 8055231335,Mid,Elitist
radiant 8055231335,Muerta 8055231335,Semi Support,Dance of the Dead
radiant 8055231335,Magnus 8055231335,Off Lane,Reverse Polarity
dire 8055231335,Beastmaster 8055231335,Off Lane,Wild Hunt
dire 8055231335,Phoenix 8055231335,Semi Support,Hotspot
dire 8055231335,Void Spirit 8055231335,Mid,Sanctuary
dire 8055231335,Terrorblade 8055231335,Carry,Condemned
dire 8055231335,Enchantress 8055231335,Full Support,Spellbound
radiant 8055285102,Jakiro 8055285102,Full Support,Liquid Frost
radiant 8055285102,Primal Beast 8055285102,Off Lane,Romp n' Stomp
radiant 8055285102,Nature's Prophet 8055285102,Mid,Ironwood Treant
radiant 8055285102,Tusk 8055285102,Semi Support,Tag Team
radiant 8055285102,Monkey King 8055285102,Carry,Simian Stride
dire 8055285102,Alchemist 8055285102,Carry,Seed Money
dire 8055285102,Pugna 8055285102,Full Support,Siphoning Ward
dire 8055285102,Beastmaster 8055285102,Off Lane,Wild Hunt
dire 8055285102,Muerta 8055285102,Semi Support,Dance of the Dead
dire 8055285102,Viper 8055285102,Mid,Poison Burst
radiant 8055384655,Magnus 8055384655,Carry,Reverse Polarity
radiant 8055384655,Lich 8055384655,Full Support,Growing Cold
radiant 8055384655,Queen of Pain 8055384655,Mid,Masochist
radiant 8055384655,Dark Willow 8055384655,Semi Support,Throwing Shade
radiant 8055384655,Dawnbreaker 8055384655,Off Lane,Solar Charged
dire 8055384655,Sven 8055384655,Carry,Wrath of God
dire 8055384655,Doom 8055384655,Off Lane,Devil's Bargain
dire 8055384655,Pugna 8055384655,Full Support,Siphoning Ward
dire 8055384655,Timbersaw 8055384655,Mid,Twisted Chakram
dire 8055384655,Rubick 8055384655,Semi Support,Arcane Accumulation
radiant 8056476228,Chaos Knight 8056476228,Carry,Phantasmagoria
radiant 8056476228,Batrider 8056476228,Full Support,Stoked
radiant 8056476228,Monkey King 8056476228,Mid,Simian Stride
radiant 8056476228,Pugna 8056476228,Semi Support,Siphoning Ward
radiant 8056476228,Magnus 8056476228,Off Lane,Reverse Polarity
dire 8056476228,Alchemist 8056476228,Carry,Seed Money
dire 8056476228,Lina 8056476228,Mid,Thermal Runaway
dire 8056476228,Beastmaster 8056476228,Off Lane,Wild Hunt
dire 8056476228,Rubick 8056476228,Full Support,Frugal Filch
dire 8056476228,Clockwerk 8056476228,Semi Support,Expanded Armature
radiant 8056585402,Slark 8056585402,Carry,Leeching Leash
radiant 8056585402,Tiny 8056585402,Mid,Crash Landing
radiant 8056585402,Beastmaster 8056585402,Off Lane,Wild Hunt
radiant 8056585402,Lion 8056585402,Semi Support,Fist of Death
radiant 8056585402,Chen 8056585402,Full Support,Satyr Convert
dire 8056585402,Morphling 8056585402,Carry,Ebb
dire 8056585402,Tusk 8056585402,Full Support,Tag Team
dire 8056585402,Sniper 8056585402,Mid,Ghillie Suit
dire 8056585402,Batrider 8056585402,Semi Support,Stoked
dire 8056585402,Primal Beast 8056585402,Off Lane,Romp n' Stomp
radiant 8056728116,Terrorblade 8056728116,Carry,Condemned
radiant 8056728116,Batrider 8056728116,Full Support,Stoked
radiant 8056728116,Sniper 8056728116,Mid,Ghillie Suit
radiant 8056728116,Lion 8056728116,Semi Support,Fist of Death
radiant 8056728116,Earth Spirit 8056728116,Off Lane,Resonance
dire 8056728116,Magnus 8056728116,Carry,Reverse Polarity
dire 8056728116,Huskar 8056728116,Mid,Incendiary
dire 8056728116,Tidehunter 8056728116,Off Lane,Kraken Swell
dire 8056728116,Clockwerk 8056728116,Semi Support,Expanded Armature
dire 8056728116,Shadow Demon 8056728116,Full Support,Promulgate
radiant 8056889752,Crystal Maiden 8056889752,Full Support,Frozen Expanse
radiant 8056889752,Alchemist 8056889752,Carry,Seed Money
radiant 8056889752,Sand King 8056889752,Mid,Dust Devil
radiant 8056889752,Bristleback 8056889752,Off Lane,Seeing Red
radiant 8056889752,Hoodwink 8056889752,Semi Support,Treebounce Trickshot
dire 8056889752,Dawnbreaker 8056889752,Off Lane,Solar Charged
dire 8056889752,Batrider 8056889752,Semi Support,Stoked
dire 8056889752,Tiny 8056889752,Mid,Crash Landing
dire 8056889752,Morphling 8056889752,Carry,Ebb
dire 8056889752,Ogre Magi 8056889752,Full Support,Learning Curve
radiant 8056960913,Dawnbreaker 8056960913,Off Lane,Solar Charged
radiant 8056960913,Tusk 8056960913,Semi Support,Tag Team
radiant 8056960913,Earth Spirit 8056960913,Mid,Resonance
radiant 8056960913,Drow Ranger 8056960913,Carry,Sidestep
radiant 8056960913,Shadow Demon 8056960913,Full Support,Promulgate
dire 8056960913,Enchantress 8056960913,Semi Support,Spellbound
dire 8056960913,Alchemist 8056960913,Carry,Seed Money
dire 8056960913,Timbersaw 8056960913,Mid,Twisted Chakram
dire 8056960913,Bristleback 8056960913,Off Lane,Seeing Red
dire 8056960913,Lion 8056960913,Full Support,Fist of Death
radiant 8057125074,Enchantress 8057125074,Full Support,Spellbound
radiant 8057125074,Alchemist 8057125074,Carry,Seed Money
radiant 8057125074,Lina 8057125074,Mid,Thermal Runaway
radiant 8057125074,Magnus 8057125074,Off Lane,Reverse Polarity
radiant 8057125074,Tusk 8057125074,Semi Support,Tag Team
dire 8057125074,Mars 8057125074,Off Lane,Blood Sport
dire 8057125074,Hoodwink 8057125074,Semi Support,Go Nuts
dire 8057125074,Dragon Knight 8057125074,Mid,Fire Dragon
dire 8057125074,Morphling 8057125074,Carry,Ebb
dire 8057125074,Chen 8057125074,Full Support,Satyr Convert
radiant 8057869002,Earth Spirit 8057869002,Full Support,Resonance
radiant 8057869002,Magnus 8057869002,Off Lane,Reverse Polarity
radiant 8057869002,Sniper 8057869002,Mid,Ghillie Suit
radiant 8057869002,Muerta 8057869002,Semi Support,Dance of the Dead
radiant 8057869002,Drow Ranger 8057869002,Carry,Sidestep
dire 8057869002,Dragon Knight 8057869002,Carry,Fire Dragon
dire 8057869002,Huskar 8057869002,Mid,Incendiary
dire 8057869002,Timbersaw 8057869002,Off Lane,Shredder
dire 8057869002,Lion 8057869002,Semi Support,Fist of Death
dire 8057869002,Enchantress 8057869002,Full Support,Spellbound
radiant 8058023635,Slark 8058023635,Carry,Leeching Leash
radiant 8058023635,Earth Spirit 8058023635,Mid,Resonance
radiant 8058023635,Primal Beast 8058023635,Off Lane,Romp n' Stomp
radiant 8058023635,Batrider 8058023635,Semi Support,Stoked
radiant 8058023635,Enchantress 8058023635,Full Support,Spellbound
dire 8058023635,Pugna 8058023635,Full Support,Siphoning Ward
dire 8058023635,Terrorblade 8058023635,Off Lane,Soul Fragment
dire 8058023635,Storm Spirit 8058023635,Mid,Static Slide
dire 8058023635,Muerta 8058023635,Semi Support,Dance of the Dead
dire 8058023635,Razor 8058023635,Carry,Thunderhead
radiant 8058124306,Magnus 8058124306,Carry,Reverse Polarity
radiant 8058124306,Earth Spirit 8058124306,Mid,Resonance
radiant 8058124306,Mars 8058124306,Off Lane,Blood Sport
radiant 8058124306,Muerta 8058124306,Semi Support,Dance of the Dead
radiant 8058124306,Phoenix 8058124306,Full Support,Dying Light
dire 8058124306,Pugna 8058124306,Full Support,Siphoning Ward
dire 8058124306,Terrorblade 8058124306,Off Lane,Soul Fragment
dire 8058124306,Tiny 8058124306,Mid,Crash Landing
dire 8058124306,Techies 8058124306,Semi Support,Squee's Scope
dire 8058124306,Gyrocopter 8058124306,Carry,Afterburner
radiant 8058249772,Morphling 8058249772,Carry,Ebb
radiant 8058249772,Enchantress 8058249772,Full Support,Overprotective Wisps
radiant 8058249772,Dawnbreaker 8058249772,Off Lane,Solar Charged
radiant 8058249772,Rubick 8058249772,Semi Support,Frugal Filch
radiant 8058249772,Queen of Pain 8058249772,Mid,Masochist
dire 8058249772,Pugna 8058249772,Full Support,Siphoning Ward
dire 8058249772,Wraith King 8058249772,Carry,Bone Guard
dire 8058249772,Magnus 8058249772,Mid,Reverse Polarity
dire 8058249772,Broodmother 8058249772,Off Lane,Necrotic Webs
dire 8058249772,Tusk 8058249772,Semi Support,Tag Team
radiant 8058358558,Phoenix 8058358558,Full Support,Dying Light
radiant 8058358558,Magnus 8058358558,Carry,Reverse Polarity
radiant 8058358558,Razor 8058358558,Mid,Thunderhead
radiant 8058358558,Mars 8058358558,Off Lane,Blood Sport
radiant 8058358558,Lion 8058358558,Semi Support,Fist of Death
dire 8058358558,Dragon Knight 8058358558,Carry,Fire Dragon
dire 8058358558,Shadow Demon 8058358558,Full Support,Shadow Servant
dire 8058358558,Centaur Warrunner 8058358558,Off Lane,Horsepower
dire 8058358558,Muerta 8058358558,Semi Support,Dance of the Dead
dire 8058358558,Lina 8058358558,Mid,Thermal Runaway
radiant 8059269676,Shadow Demon 8059269676,Full Support,Shadow Servant
radiant 8059269676,Beastmaster 8059269676,Off Lane,Wild Hunt
radiant 8059269676,Sniper 8059269676,Mid,Ghillie Suit
radiant 8059269676,Gyrocopter 8059269676,Semi Support,Secondary Strikes
radiant 8059269676,Alchemist 8059269676,Carry,Seed Money
dire 8059269676,Ogre Magi 8059269676,Full Support,Learning Curve
dire 8059269676,Terrorblade 8059269676,Off Lane,Soul Fragment
dire 8059269676,Invoker 8059269676,Mid,Elitist
dire 8059269676,Dark Willow 8059269676,Semi Support,Throwing Shade
dire 8059269676,Razor 8059269676,Carry,Thunderhead
radiant 8059395636,Pugna 8059395636,Full Support,Siphoning Ward
radiant 8059395636,Terrorblade 8059395636,Off Lane,Soul Fragment
radiant 8059395636,Tiny 8059395636,Mid,Crash Landing
radiant 8059395636,Doom 8059395636,Semi Support,Gluttony
radiant 8059395636,Templar Assassin 8059395636,Carry,Voidblades
dire 8059395636,Chen 8059395636,Full Support,Hellbear Convert
dire 8059395636,Centaur Warrunner 8059395636,Off Lane,Horsepower
dire 8059395636,Earth Spirit 8059395636,Mid,Resonance
dire 8059395636,Muerta 8059395636,Semi Support,Dance of the Dead
dire 8059395636,Razor 8059395636,Carry,Thunderhead
radiant 8059599922,Ursa 8059599922,Carry,Bear Down
radiant 8059599922,Sand King 8059599922,Mid,Sandshroud
radiant 8059599922,Primal Beast 8059599922,Off Lane,Romp n' Stomp
radiant 8059599922,Muerta 8059599922,Semi Support,Dance of the Dead
radiant 8059599922,Pugna 8059599922,Full Support,Siphoning Ward
dire 8059599922,Templar Assassin 8059599922,Carry,Voidblades
dire 8059599922,Enchantress 8059599922,Full Support,Overprotective Wisps
dire 8059599922,Terrorblade 8059599922,Off Lane,Soul Fragment
dire 8059599922,Magnus 8059599922,Semi Support,Reverse Polarity
dire 8059599922,Invoker 8059599922,Mid,Elitist
radiant 8059708053,Drow Ranger 8059708053,Carry,Sidestep
radiant 8059708053,Ogre Magi 8059708053,Full Support,Learning Curve
radiant 8059708053,Dawnbreaker 8059708053,Off Lane,Solar Charged
radiant 8059708053,Muerta 8059708053,Semi Support,Dance of the Dead
radiant 8059708053,Nature's Prophet 8059708053,Mid,Ironwood Treant
dire 8059708053,Ursa 8059708053,Carry,Bear Down
dire 8059708053,Queen of Pain 8059708053,Mid,Masochist
dire 8059708053,Terrorblade 8059708053,Off Lane,Condemned
dire 8059708053,Clockwerk 8059708053,Semi Support,Expanded Armature
dire 8059708053,Pugna 8059708053,Full Support,Siphoning Ward
radiant 8060944213,Phoenix 8060944213,Full Support,Dying Light
radiant 8060944213,Beastmaster 8060944213,Off Lane,Beast Mode
radiant 8060944213,Tiny 8060944213,Mid,Crash Landing
radiant 8060944213,Muerta 8060944213,Semi Support,Dance of the Dead
radiant 8060944213,Alchemist 8060944213,Carry,Seed Money
dire 8060944213,Monkey King 8060944213,Carry,Simian Stride
dire 8060944213,Storm Spirit 8060944213,Mid,Static Slide
dire 8060944213,Doom 8060944213,Off Lane,Devil's Bargain
dire 8060944213,Hoodwink 8060944213,Semi Support,Treebounce Trickshot
dire 8060944213,Crystal Maiden 8060944213,Full Support,Frozen Expanse
radiant 8061100515,Templar Assassin 8061100515,Carry,Voidblades
radiant 8061100515,Timbersaw 8061100515,Mid,Twisted Chakram
radiant 8061100515,Doom 8061100515,Off Lane,Gluttony
radiant 8061100515,Batrider 8061100515,Semi Support,Stoked
radiant 8061100515,Ogre Magi 8061100515,Full Support,Learning Curve
dire 8061100515,Enchantress 8061100515,Full Support,Overprotective Wisps
dire 8061100515,Enigma 8061100515,Off Lane,Splitting Image
dire 8061100515,Sand King 8061100515,Mid,Dust Devil
dire 8061100515,Muerta 8061100515,Semi Support,Dance of the Dead
dire 8061100515,Dragon Knight 8061100515,Carry,Fire Dragon
radiant 8061294743,Morphling 8061294743,Carry,Ebb
radiant 8061294743,Brewmaster 8061294743,Off Lane,Drunken Master
radiant 8061294743,Elder Titan 8061294743,Full Support,Deconstruction
radiant 8061294743,Lina 8061294743,Mid,Thermal Runaway
radiant 8061294743,Magnus 8061294743,Semi Support,Reverse Polarity
dire 8061294743,Ursa 8061294743,Carry,Bear Down
dire 8061294743,Zeus 8061294743,Mid,Divine Rampage
dire 8061294743,Beastmaster 8061294743,Off Lane,Beast Mode
dire 8061294743,Muerta 8061294743,Semi Support,Dance of the Dead
dire 8061294743,Naga Siren 8061294743,Full Support,Deluge
radiant 8061396001,Morphling 8061396001,Carry,Ebb
radiant 8061396001,Venomancer 8061396001,Mid,Plague Carrier
radiant 8061396001,Timbersaw 8061396001,Off Lane,Twisted Chakram
radiant 8061396001,Shadow Shaman 8061396001,Semi Support,Cluster Cluck
radiant 8061396001,Enchantress 8061396001,Full Support,Spellbound
dire 8061396001,Monkey King 8061396001,Carry,Simian Stride
dire 8061396001,Tidehunter 8061396001,Off Lane,Kraken Swell
dire 8061396001,Batrider 8061396001,Full Support,Stoked
dire 8061396001,Dragon Knight 8061396001,Mid,Fire Dragon
dire 8061396001,Magnus 8061396001,Semi Support,Reverse Polarity
radiant 8062807181,Morphling 8062807181,Carry,Ebb
radiant 8062807181,Lycan 8062807181,Off Lane,Pack Leader
radiant 8062807181,Naga Siren 8062807181,Full Support,Deluge
radiant 8062807181,Lina 8062807181,Mid,Thermal Runaway
radiant 8062807181,Rubick 8062807181,Semi Support,Frugal Filch
dire 8062807181,Drow Ranger 8062807181,Carry,Sidestep
dire 8062807181,Pangolier 8062807181,Mid,Double Jump
dire 8062807181,Magnus 8062807181,Off Lane,Reverse Polarity
dire 8062807181,Muerta 8062807181,Semi Support,Dance of the Dead
dire 8062807181,Pugna 8062807181,Full Support,Siphoning Ward
radiant 8062945076,Morphling 8062945076,Carry,Ebb
radiant 8062945076,Invoker 8062945076,Mid,Elitist
radiant 8062945076,Centaur Warrunner 8062945076,Off Lane,Horsepower
radiant 8062945076,Shadow Demon 8062945076,Semi Support,Shadow Servant
radiant 8062945076,Ogre Magi 8062945076,Full Support,Learning Curve
dire 8062945076,Spectre 8062945076,Carry,Twist the Knife
dire 8062945076,Visage 8062945076,Off Lane,Death Toll
dire 8062945076,Phoenix 8062945076,Full Support,Dying Light
dire 8062945076,Puck 8062945076,Mid,Jostling Rift
dire 8062945076,Magnus 8062945076,Semi Support,Reverse Polarity
radiant 8063069899,Ursa 8063069899,Carry,Bear Down
radiant 8063069899,Beastmaster 8063069899,Off Lane,Beast Mode
radiant 8063069899,Batrider 8063069899,Full Support,Stoked
radiant 8063069899,Lion 8063069899,Semi Support,Essence Eater
radiant 8063069899,Storm Spirit 8063069899,Mid,Static Slide
dire 8063069899,Alchemist 8063069899,Carry,Seed Money
dire 8063069899,Pangolier 8063069899,Mid,Double Jump
dire 8063069899,Brewmaster 8063069899,Off Lane,Drunken Master
dire 8063069899,Muerta 8063069899,Semi Support,Dance of the Dead
dire 8063069899,Crystal Maiden 8063069899,Full Support,Frozen Expanse
radiant 8063200834,Earth Spirit 8063200834,Mid,Resonance
radiant 8063200834,Doom 8063200834,Off Lane,Devil's Bargain
radiant 8063200834,Muerta 8063200834,Semi Support,Dance of the Dead
radiant 8063200834,Morphling 8063200834,Carry,Ebb
radiant 8063200834,Naga Siren 8063200834,Full Support,Deluge
dire 8063200834,Sven 8063200834,Carry,Wrath of God
dire 8063200834,Visage 8063200834,Off Lane,Sepulchre
dire 8063200834,Shadow Demon 8063200834,Full Support,Shadow Servant
dire 8063200834,Tusk 8063200834,Semi Support,Tag Team
dire 8063200834,Lina 8063200834,Mid,Thermal Runaway
