кухня;аминокислоты;антиоксиданты;биотин;витамин_а;витамин_в1;витамин_в12;витамин_в2;витамин_в3;витамин_в6;витамин_в9;витамин_д;витамин_е;витамин_к;витамин_с;железо;жирные_кислоты;йод;калий;кальций;капсаицин;кверцетин;клетчатка;магний;марганец;медь;натрий;омега-3;различные_антиоксиданты_и_минералы;селен;углеводы;фолат;фолиевая_кислота;фосфор;холин;цинк
china;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333;0.0;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333;0.0;0.6666666666666666;0.6666666666666666;0.3333333333333333;0.0;0.0;1.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.3333333333333333
itlaian;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.5;0.5;0.5;0.5;0.0;0.0;1.0;0.5;0.0;0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
american;0.0;0.0;0.0;0.6666666666666666;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.0;0.0;0.6666666666666666;0.6666666666666666;0.3333333333333333;0.0;1.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.0;0.0
china;0.0;0.0;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.0;0.6666666666666666;0.6666666666666666;0.0;0.3333333333333333;0.0;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.0;0.0;1.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.6666666666666666;0.3333333333333333;0.0;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333
american;0.0;0.0;0.0;1.0;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.0;0.0;0.6666666666666666;0.6666666666666666;0.3333333333333333;0.3333333333333333;0.6666666666666666;0.3333333333333333;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.0;0.0
american;0.0;0.0;0.0;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.5;0.0;0.5;0.5;1.0;0.0;0.0;0.5;0.5;0.0;0.5;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.5;0.5;1.0;0.0;0.0;0.0
china;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.0;0.6666666666666666;0.6666666666666666;0.3333333333333333;0.0;0.0;1.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.0
itlaian;0.0;0.0;0.0;1.0;0.5;1.0;0.0;0.5;0.5;0.0;1.0;0.5;0.0;0.5;0.5;0.0;0.0;0.5;0.5;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.5;0.5;0.0
itlaian;0.0;0.0;0.0;1.0;0.5;1.0;0.5;0.5;0.5;0.0;0.5;0.5;0.0;0.5;0.5;0.0;0.0;0.5;0.5;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.5;0.5;0.5;0.0
french;0.0;0.0;0.0;0.5;0.0;0.5;0.0;0.0;0.5;0.0;0.0;0.5;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.5
russian;0.0;0.0;0.0;1.0;0.5;0.5;1.0;0.5;0.0;0.0;0.5;0.5;0.0;0.0;0.5;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.5;0.0;0.5;0.0
china;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333;0.0;0.3333333333333333;0.6666666666666666;0.0;0.0;0.0;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.0;0.0;1.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.0
african;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.3333333333333333;0.3333333333333333;0.3333333333333333;1.0;0.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.0
russian;0.0;0.0;0.0;0.0;0.6666666666666666;0.3333333333333333;0.6666666666666666;0.6666666666666666;1.0;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.6666666666666666;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.6666666666666666;0.0;0.0;0.3333333333333333
itlaian;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
french;0.0;0.0;0.0;1.0;0.5;1.0;1.0;0.5;0.0;0.0;1.0;0.5;0.0;0.0;0.5;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.5;0.0;0.5;0.0
russian;0.0;0.0;0.0;0.0;0.5;0.5;0.5;0.5;1.0;0.0;0.0;0.0;0.5;0.5;1.0;0.0;0.0;0.5;0.5;0.0;0.5;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.5;0.5;1.0;0.0;0.0;0.5
african;0.0;0.0;0.0;1.0;0.5;0.5;0.5;0.5;0.0;0.0;1.0;0.5;0.5;0.0;1.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.5;0.0;0.0;0.0
american;0.0;0.0;0.0;0.5;0.5;0.0;0.5;0.5;0.0;0.0;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.5;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;1.0;0.0;0.0;0.0
china;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.0;0.6666666666666666;0.6666666666666666;0.3333333333333333;0.0;0.0;1.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.0
russian;0.0;0.0;0.0;0.0;1.0;0.5;1.0;1.0;1.0;0.0;0.5;0.0;0.5;0.5;0.5;0.0;0.5;0.5;0.5;0.0;0.5;0.0;0.0;0.5;0.0;0.0;0.5;0.0;0.0;0.5;0.5;1.0;0.0;0.0;0.0
african;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
american;0.0;0.0;0.0;0.5;0.5;0.0;0.0;0.5;0.5;0.0;0.0;1.0;0.5;0.5;0.5;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;0.0;0.0
american;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.3333333333333333;1.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0
russian;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
russian;0.0;0.0;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.0;0.0;0.3333333333333333;0.6666666666666666;0.0;0.0;0.0;0.6666666666666666;1.0;0.0;0.0;0.0;1.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.6666666666666666;0.3333333333333333;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.0;0.0
american;0.0;0.0;0.0;1.0;0.5;0.5;0.0;0.5;0.0;0.0;1.0;0.5;0.5;0.0;0.5;0.5;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0
african;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
china;0.0;0.0;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333;0.3333333333333333;0.6666666666666666;0.0;0.0;0.0;1.0;1.0;0.3333333333333333;0.0;0.0;1.0;1.0;0.0;0.3333333333333333;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.6666666666666666;0.0;0.0;0.0
russian;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.5;1.0;1.0;0.5;0.0;0.0;1.0;0.5;0.0;0.5;0.0;0.0;0.5;0.0;0.5;0.0;0.5;0.0;0.0;0.5;0.5;0.0;0.0;0.0
russian;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
american;0.0;0.0;0.0;1.0;0.3333333333333333;0.6666666666666666;0.3333333333333333;0.3333333333333333;0.0;0.0;1.0;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0
itlaian;0.0;0.0;0.25;0.5;0.25;0.0;0.0;0.0;0.5;0.25;0.0;0.0;0.75;1.0;0.25;0.0;0.0;1.0;0.25;0.0;0.25;0.0;0.5;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.25;0.25;0.0;0.0
african;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
itlaian;0.0;0.0;0.0;0.5;0.5;0.0;0.0;0.5;0.5;0.0;0.0;0.5;1.0;1.0;0.5;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0
american;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.6666666666666666;0.3333333333333333;1.0;0.0;1.0;0.3333333333333333;0.6666666666666666;0.6666666666666666;0.0;0.3333333333333333;0.0;0.6666666666666666;0.6666666666666666;0.0;0.3333333333333333;0.0;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.0;0.0
african;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
french;0.0;0.0;0.0;1.0;0.3333333333333333;0.6666666666666666;0.6666666666666666;0.3333333333333333;0.0;0.0;1.0;1.0;0.3333333333333333;0.0;0.6666666666666666;0.3333333333333333;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.3333333333333333;0.0
american;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
african;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
russian;0.0;0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.5;0.0;0.5;0.0;0.0;0.5;0.0;0.0;0.0;0.5;0.0;0.0;0.5;0.5;0.0;0.0;0.0
american;0.0;0.0;0.0;1.0;0.5;0.5;0.5;0.5;0.0;0.0;1.0;0.5;0.5;0.0;1.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.5;0.0;0.0;0.0
african;0.0;0.0;0.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.0;1.0;0.0;0.0;0.0;0.6666666666666666;1.0;0.3333333333333333;0.0;0.0;0.6666666666666666;0.3333333333333333;0.0;0.3333333333333333;0.0;0.3333333333333333;0.6666666666666666;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.0
american;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
african;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
russian;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.3333333333333333;0.3333333333333333;1.0;0.6666666666666666;0.0;0.3333333333333333;0.0;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.6666666666666666;0.3333333333333333;0.0;0.0;0.0
french;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
russian;0.0;0.0;0.0;0.75;0.25;0.5;0.25;0.25;0.25;0.0;1.0;0.5;0.5;0.25;0.25;0.25;0.25;0.25;0.5;0.0;0.25;0.0;0.0;0.25;0.0;0.0;0.25;0.0;0.0;0.25;0.25;0.5;0.0;0.25;0.0
itlaian;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;1.0;0.0;0.3333333333333333;0.3333333333333333;0.6666666666666666;0.6666666666666666;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333;0.0;0.3333333333333333;0.6666666666666666;0.3333333333333333;0.0;0.0;0.0;0.3333333333333333;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.0
african;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.5;0.5;0.0;0.0;1.0;0.5;1.0;0.5;0.5;0.0;0.5;1.0;0.0;0.5;0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;0.0;0.5
american;0.0;0.0;0.0;1.0;0.5;0.5;0.0;0.5;0.0;0.0;0.5;0.5;1.0;0.5;0.5;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.5;0.0;0.0
american;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
american;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1.0;0.5;0.5;0.0;0.5;0.0;0.5;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
french;0.0;0.0;0.0;1.0;0.3333333333333333;0.6666666666666666;0.3333333333333333;0.3333333333333333;0.0;0.0;1.0;0.6666666666666666;0.3333333333333333;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0
china;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.3333333333333333;0.6666666666666666;0.0;0.0;0.0;0.3333333333333333;1.0;0.3333333333333333;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;1.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.3333333333333333;0.0;0.0;0.3333333333333333
itlaian;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.5;0.5;0.5;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.5;0.0
african;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
itlaian;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.3333333333333333;0.0;0.6666666666666666;0.6666666666666666;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.3333333333333333
african;0.0;0.0;0.0;1.0;0.0;0.0;0.5;0.0;0.5;0.0;0.5;0.5;0.5;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.5;0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;0.0;0.0
french;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.3333333333333333;1.0;0.6666666666666666;0.0;0.0;0.0;0.6666666666666666;0.3333333333333333;0.0;0.3333333333333333;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.0
french;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
russian;0.0;0.0;0.25;0.25;0.0;0.25;0.0;0.0;0.75;0.0;0.25;0.25;0.75;1.0;0.0;0.0;0.0;0.75;0.25;0.0;0.25;0.0;0.25;0.25;0.0;0.0;0.25;0.0;0.0;0.0;0.25;0.5;0.25;0.0;0.0
itlaian;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1.0;0.5;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
russian;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333;0.0;0.0;0.6666666666666666;0.0;0.3333333333333333;0.0;0.6666666666666666;1.0;0.0;0.0;0.3333333333333333;1.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.0;0.0
russian;0.0;0.0;0.0;1.0;0.5;0.5;0.5;0.5;0.5;0.0;1.0;0.5;0.5;0.5;0.5;0.0;0.0;0.5;1.0;0.0;0.5;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.5;0.5;1.0;0.0;0.5;0.0
