Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Protocol,Class,Interface Type,Output Power,Data Rate,Receiver Sensitivity,Frequency,Operating Supply Voltage,Minimum Operating Temperature,Maximum Operating Temperature,Series,Packaging,Protocol - Bluetooth, BLE - 802.15.1,Protocol - WiFi - 802.11,Protocol - ANT, Thread, Zigbee - 802.15.4,Protocol - Sub GHz
634-BGX220S22HNA21R,BGX220S22HNA21R,Silicon Labs,https://ru.mouser.com/datasheet/2/368/bgx220s_datasheet-2036718.pdf,"2,357  In Stock",$12.01,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Silicon-Labs/BGX220S22HNA21R?qs=zW32dvEIR3vuqzfAs9jwtA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BGX220S22HNA21R&utm_content=Silicon-Labs,,,,6 dBm,,,,,,,,"Cut Tape, Reel",Bluetooth,,,,,,
634-BGM220PC22WGA2R,BGM220PC22WGA2R,Silicon Labs,https://ru.mouser.com/datasheet/2/368/bgm220p_datasheet-1900893.pdf,875  In Stock,$11.62,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Silicon-Labs/BGM220PC22WGA2R?qs=7MVldsJ5UayRQss0gz56jA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BGM220PC22WGA2R&utm_content=Silicon-Labs,Bluetooth 5.2,Bluetooth Low Energy (BLE),"I2C, SPI, UART",8 dBm,2 Mb/s,- 96.2 dBm,2.4 GHz,1.8 V to 3.8 V,- 40 C,+ 85 C,,"Cut Tape, Reel",Bluetooth,,,,,,
963-EYSNSNZWW,EYSNSNZWW,Taiyo Yuden,https://ru.mouser.com/datasheet/2/396/TaiyoYuden_9232020_BLE_Overview_V3_0_20200511-1902320.pdf,"2,463  In Stock",$14.40,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Taiyo-Yuden/EYSNSNZWW?qs=TiOZkKH1s2QwRFBbD4XGLQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYSNSNZWW&utm_content=Taiyo-Yuden,,,,,,,,,,,,"Cut Tape, Reel",BLE,,,,,,
377-BMD-380-A-R,BMD-380-A-R,u-blox,https://www.u-blox.com/en/docs/UBX-19039467,306  In Stock,$23.32,,New Product,https://ru.mouser.com/ProductDetail/u-blox/BMD-380-A-R?qs=bAKSY/ctAC4RL/ODaghZbw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BMD-380-A-R&utm_content=u-blox,Bluetooth 5.1,Bluetooth Low Energy (BLE),"I2C, SPI, UART",,2 Mb/s,,2.4 GHz,1.7 V to 3.6 V,- 40 C,+ 85 C,,,Bluetooth,,,,,,
239-453-00059C,453-00059C,Laird Connectivity,https://www.lairdconnect.com/documentation/datasheet-bl653-micro-series-preliminary,420  In Stock,$13.12,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Laird-Connectivity/453-00059C?qs=DPoM0jnrROWPFc/pjzHSnA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=453-00059C&utm_content=Laird-Connectivity,,,,,,,,,,,BL653,Cut Tape,,,,,,,
963-EYSNCNZWW,EYSNCNZWW,Taiyo Yuden,https://ru.mouser.com/datasheet/2/396/TaiyoYuden_9232020_BLE_Overview_V3_0_20200511-1902320.pdf,"1,063  In Stock",$14.21,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Taiyo-Yuden/EYSNCNZWW?qs=hWgE7mdIu5Q1ymNAw8d21w==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYSNCNZWW&utm_content=Taiyo-Yuden,,,,,,,,,,,,"Cut Tape, Reel",BLE,,,,,,
377-NINA-B400-00B,NINA-B400-00B,u-blox,https://www.u-blox.com/en/docs/UBX-19049405,351  In Stock,$16.91,,New Product,https://ru.mouser.com/ProductDetail/u-blox/NINA-B400-00B?qs=DPoM0jnrROUT2qYy57CMqA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=NINA-B400-00B&utm_content=u-blox,,,"GPIO, I2C, SPI, UART, USB",,,- 102 dBm,64 MHz,1.7 V to 3.6 V,- 40 C,+ 105 C,,,Bluetooth,,,,,,
239-453-00059R,453-00059R,Laird Connectivity,https://www.lairdconnect.com/documentation/datasheet-bl653-micro-series-preliminary,982  In Stock,$20.62,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Laird-Connectivity/453-00059R?qs=DPoM0jnrROXKT/2EUe1wYw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=453-00059R&utm_content=Laird-Connectivity,,,,,,,,,,,BL653,"Cut Tape, MouseReel, Reel",,,,,,,
377-NINA-B410-00B,NINA-B410-00B,u-blox,https://www.u-blox.com/en/docs/UBX-20035327,500  In Stock,$18.58,,New Product,https://ru.mouser.com/ProductDetail/u-blox/NINA-B410-00B?qs=DPoM0jnrROUpo3Z5O301bA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=NINA-B410-00B&utm_content=u-blox,Bluetooth 5.1,,"GPIO, I2C, I2S, SPI, UART, USB",10 dBm,2 Mb/s,- 102 dBm,2.4 GHz,1.7 V to 3.6 V,- 40 C,+ 105 C,,,Bluetooth,,,,,,
239-453-00060C,453-00060C,Laird Connectivity,https://www.lairdconnect.com/documentation/datasheet-bl653-micro-series-preliminary,472  In Stock,$13.12,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Laird-Connectivity/453-00060C?qs=DPoM0jnrROU4XrVnTAh9uQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=453-00060C&utm_content=Laird-Connectivity,,,,,,,,,,,BL653,Cut Tape,,,,,,,
239-453-00060R,453-00060R,Laird Connectivity,https://www.lairdconnect.com/documentation/datasheet-bl653-micro-series-preliminary,996  In Stock,$20.62,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Laird-Connectivity/453-00060R?qs=DPoM0jnrROUSDeGaTNTdzg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=453-00060R&utm_content=Laird-Connectivity,,,,,,,,,,,BL653,"Cut Tape, MouseReel, Reel",,,,,,,
634-BGX220P22HNA21R,BGX220P22HNA21R,Silicon Labs,https://ru.mouser.com/datasheet/2/368/bgx220p_datasheet-2036727.pdf,164  In Stock,$12.37,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Silicon-Labs/BGX220P22HNA21R?qs=yqaQSyyJnNgJCB1%2BhSTKGQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BGX220P22HNA21R&utm_content=Silicon-Labs,Bluetooth 5.2,,I2C,8.2 dBm,2 Mb/s,,2.4 GHz,3 V,- 40 C,+ 105 C,,"Cut Tape, Reel",Bluetooth,,,,,,
634-MGM210PB22JIA2R,MGM210PB22JIA2R,Silicon Labs,https://ru.mouser.com/datasheet/2/368/mgm210p_datasheet-1652288.pdf,49  In Stock,$17.58,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Silicon-Labs/MGM210PB22JIA2R?qs=DPoM0jnrROUmSeVi8QoLlQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=MGM210PB22JIA2R&utm_content=Silicon-Labs,Bluetooth 5.1,"Bluetooth Low Energy (BLE), Class 2",I2C,10 dBm,2 Mb/s,- 94.1 dBm,2.4 GHz,3 V,- 40 C,+ 125 C,,"Cut Tape, Reel",Bluetooth,,"802.15.4 (ANT, Thread, Zigbee)",,,,
634-BGM220PC22WGA2,BGM220PC22WGA2,Silicon Labs,https://ru.mouser.com/datasheet/2/368/bgm220p_datasheet-1900893.pdf,200  In Stock,$11.62,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Silicon-Labs/BGM220PC22WGA2?qs=7MVldsJ5Uaxz2tr2rSZ2OA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BGM220PC22WGA2&utm_content=Silicon-Labs,Bluetooth 5.2,Bluetooth Low Energy (BLE),"I2C, SPI, UART",8 dBm,2 Mb/s,- 96.2 dBm,2.4 GHz,1.8 V to 3.8 V,- 40 C,+ 85 C,,"Cut Tape, Reel",Bluetooth,,,,,,
377-NINA-B416-00B,NINA-B416-00B,u-blox,https://www.u-blox.com/en/docs/UBX-20035327,88  In Stock,$17.66,,New Product,https://ru.mouser.com/ProductDetail/u-blox/NINA-B416-00B?qs=DPoM0jnrROX1meHEZEB1%2Bw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=NINA-B416-00B&utm_content=u-blox,Bluetooth 5.1,,"GPIO, I2C, I2S, SPI, UART, USB",10 dBm,2 Mb/s,- 102 dBm,2.4 GHz,1.7 V to 3.6 V,- 40 C,+ 105 C,,,Bluetooth,,"802.15.4 (ANT, Thread, Zigbee)",,,,
634-BGX220S22HNA21,BGX220S22HNA21,Silicon Labs,https://ru.mouser.com/datasheet/2/368/bgx220s_datasheet-2036718.pdf,106  In Stock,$12.01,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Silicon-Labs/BGX220S22HNA21?qs=zW32dvEIR3vJdkxJLJzLrA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BGX220S22HNA21&utm_content=Silicon-Labs,,,,6 dBm,,,,,,,,Tray,Bluetooth,,,,,,
963-EYSPBNZUA,EYSPBNZUA,Taiyo Yuden,https://www.yuden.co.jp/ut/product/category/module/lineup/eyspbnzua/,100  In Stock,$19.72,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Taiyo-Yuden/EYSPBNZUA?qs=DPoM0jnrROXqHnIu9Fk2bQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYSPBNZUA&utm_content=Taiyo-Yuden,Bluetooth 5.2,,"I2C, PDM, SPI, UART, USB",8 dBm,2 Mb/s,,2.402 GHz to 2.48 GHz,1.7 V to 5.5 V,- 40 C,+ 105 C,,"Cut Tape, Reel","Bluetooth, BLE",,"802.15.4 (ANT, Thread, Zigbee)",,,,
579-0BLES1FC2-0B05BA,BM70BLES1FC2-0B05BA,Microchip Technology,https://ru.mouser.com/datasheet/2/268/Bluetooth_Low_Energy_BLE_Module_DS60001372K-2257931.pdf,162  In Stock,$11.97,,New Product,https://ru.mouser.com/ProductDetail/Microchip-Technology/BM70BLES1FC2-0B05BA?qs=pUKx8fyJudDgV3fN3YjB9w==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BM70BLES1FC2-0B05BA&utm_content=Microchip-Technology,Bluetooth v5.0,,"ADC, GPIO, I2C, SPI, UART",0 dBm,8.6 kb/s,,2.402 GHz to 2.48 GHz,1.9 V to 3.6 V,- 40 C,+ 85 C,,,"Bluetooth, BLE",,,,,,
579-E01FC2-0B05BA,BM70BLE01FC2-0B05BA,Microchip Technology,https://ru.mouser.com/datasheet/2/268/Bluetooth_Low_Energy_BLE_Module_DS60001372K-2257931.pdf,132  In Stock,$9.92,,New Product,https://ru.mouser.com/ProductDetail/Microchip-Technology/BM70BLE01FC2-0B05BA?qs=pUKx8fyJudCopnFHr2gM1g==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BM70BLE01FC2-0B05BA&utm_content=Microchip-Technology,Bluetooth v5.0,,"ADC, GPIO, I2C, SPI, UART",0 dBm,8.6 kb/s,,2.402 GHz to 2.48 GHz,1.9 V to 3.6 V,- 40 C,+ 85 C,,,"Bluetooth, BLE",,,,,,
377-BMD-360-A-R,BMD-360-A-R,u-blox,https://ru.mouser.com/datasheet/2/1025/BMD-360_DataSheet_(UBX-19039466)-1729532.pdf,"2,856  In Stock",$9.80,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/u-blox/BMD-360-A-R?qs=%2B6g0mu59x7LMM5sBpMvTiQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BMD-360-A-R&utm_content=u-blox,Bluetooth 5.1,Bluetooth Low Energy (BLE),"I2C, SPI, UART",4 dBm,2 Mb/s,- 97 dBm,2.4 GHz,1.7 V to 3.6 V,- 40 C,+ 85 C,BMD-360,,BLE,,,,,,
727-CYBT-333032-02,CYBT-333032-02,Cypress Semiconductor,https://www.cypress.com/file/464611/download,460  In Stock,$14.78,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Cypress-Semiconductor/CYBT-333032-02?qs=BJlw7L4Cy79ZrMZbdUneEQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CYBT-333032-02&utm_content=Cypress-Semiconductor,Bluetooth 5.0,"Class 1, Class 2","I2C, I2S, PCM, SPI, UART",9 dBm,4 Mb/s,- 96.5 dBm,2.4 GHz,2.3 V to 3.6 V,- 30 C,+ 85 C,,"Cut Tape, Reel",BLE,,,,,,
963-EYSKJNZWB,EYSKJNZWB,Taiyo Yuden,https://www.yuden.co.jp/ut/product/category/module/lineup/eyskjnzwb/,367  In Stock,$22.04,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Taiyo-Yuden/EYSKJNZWB?qs=GedFDFLaBXFgvYgrWrBJ8Q==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYSKJNZWB&utm_content=Taiyo-Yuden,,Bluetooth Low Energy (BLE),"I2C, I2S, PCM, SPI, UART",8 dBm,2 Mb/s,,2.402 GHz to 2.48 GHz,1.7 V to 3.6 V,- 40 C,+ 85 C,,"Cut Tape, Reel",BLE,,,,,,
963-EYSKDNZWB,EYSKDNZWB,Taiyo Yuden,https://ru.mouser.com/datasheet/2/396/TY_BLE_EYSKDNZWB_DataReport_V0_9_20191014-1773828.pdf,430  In Stock,$23.84,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Taiyo-Yuden/EYSKDNZWB?qs=OlC7AqGiEDkEZaAz5vy8KQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYSKDNZWB&utm_content=Taiyo-Yuden,Bluetooth 5.0,,"I2C, I2S, PCM, SPI, UART",8 dBm,2 Mb/s,- 94 dBm,2.4 GHz,1.7 V to 5.5 V,- 40 C,+ 85 C,,"Cut Tape, Reel",BLE,,,,,,
239-453-00039R,453-00039R,Laird Connectivity,https://ru.mouser.com/datasheet/2/986/CS-DS-BL653_v0_1_-_PRELIM-1816284.pdf,868  In Stock,$13.50,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Laird-Connectivity/453-00039R?qs=vHuUswq2%2Bsxtbeb59TUVkA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=453-00039R&utm_content=Laird-Connectivity,Bluetooth 5.1,Bluetooth Low Energy (BLE),"GPIO, I2C, I2S, SPI, UART, USB",8 dBm,1 Mb/s,- 95 dBm,2.402 GHz to 2.48 GHz,1.7 V to 5.5 V,- 40 C,+ 105 C,BL653,"Cut Tape, MouseReel, Reel",BLE,,,,,,
308-BM833E,BM833E,Fanstel,https://ru.mouser.com/datasheet/2/915/BM833_datasheets-1669897.pdf,"1,851  In Stock",$17.37,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Fanstel/BM833E?qs=xZ/P%2Ba9zWqZAjtKb/AVeQQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BM833E&utm_content=Fanstel,Bluetooth 5.1,Bluetooth Low Energy (BLE),"I2C, I2S, SPI, UART",8 dBm,2 Mb/s,- 97 dBm,,1.7 V to 5.5 V,- 40 C,+ 105 C,BM833,"Cut Tape, Reel",BLE,,"802.15.4 (ANT, Thread, Zigbee)",,,,
308-BM833A,BM833A,Fanstel,https://ru.mouser.com/datasheet/2/915/BM833_datasheets-1669897.pdf,"1,018  In Stock",$11.49,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Fanstel/BM833A?qs=XeJtXLiO41RB1Pb4E%2BOjsQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BM833A&utm_content=Fanstel,Bluetooth 5.1,Bluetooth Low Energy (BLE),I2S,4 dBm,2 Mb/s,- 97 dBm,2.4 GHz,1.7 V to 3.6 V,- 40 C,+ 85 C,BM833,"Cut Tape, Reel",Bluetooth,,,,,,
308-BM833F,BM833F,Fanstel,https://ru.mouser.com/datasheet/2/915/BM833_datasheets-1669897.pdf,918  In Stock,$17.48,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Fanstel/BM833F?qs=xZ/P%2Ba9zWqZBImzuVOK21g==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BM833F&utm_content=Fanstel,Bluetooth 5.1,Bluetooth Low Energy (BLE),"I2C, I2S, SPI, UART",8 dBm,2 Mb/s,- 97 dBm,,1.7 V to 5.5 V,- 40 C,+ 105 C,BM833,"Cut Tape, Reel",BLE,,"802.15.4 (ANT, Thread, Zigbee)",,,,
634-BGX13S22GA-V31R,BGX13S22GA-V31R,Silicon Labs,https://ru.mouser.com/datasheet/2/368/bgx13s-datasheet-1800115.pdf,"2,445  In Stock",$14.29,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Silicon-Labs/BGX13S22GA-V31R?qs=rkhjVJ6/3EKk150xO4f8fw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BGX13S22GA-V31R&utm_content=Silicon-Labs,Bluetooth 5.0,Bluetooth Low Energy (BLE),Serial,8 dBm,2 Mb/s,- 93.8 dBm,2.4 GHz,3.6 V,- 40 C,+ 85 C,BGX13S,"Cut Tape, Reel",BLE,,,,,,
963-EYSGJNAWY-VX,EYSGJNAWY-VX,Taiyo Yuden,https://ru.mouser.com/datasheet/2/396/TY_BLE_EYSGJNAWY-VX_DataReport_V1_0_20190423E-1773820.pdf,"1,559  In Stock",$18.88,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Taiyo-Yuden/EYSGJNAWY-VX?qs=OlC7AqGiEDnKgQCB8Sq0LA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYSGJNAWY-VX&utm_content=Taiyo-Yuden,Bluetooth 4.2,Bluetooth Low Energy (BLE),UART,4 dBm,-,- 93 dBm,2.4 GHz,1.8 V to 3.6 V,- 25 C,+ 85 C,,"Cut Tape, Reel",BLE,,,,,,
239-453-00041C,453-00041C,Laird Connectivity,https://ru.mouser.com/datasheet/2/986/CS-DS-BL653_v0_1_-_PRELIM-1816284.pdf,209  In Stock,$11.43,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Laird-Connectivity/453-00041C?qs=vHuUswq2%2BsxsIICv/Paycg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=453-00041C&utm_content=Laird-Connectivity,Bluetooth 5.1,Bluetooth Low Energy (BLE),"GPIO, I2C, I2S, SPI, UART, USB",8 dBm,1 Mb/s,- 95 dBm,2.402 GHz to 2.48 GHz,1.7 V to 5.5 V,- 40 C,+ 105 C,BL653,Cut Tape,BLE,,,,,,
239-453-00041R,453-00041R,Laird Connectivity,https://ru.mouser.com/datasheet/2/986/CS-DS-BL653_v0_1_-_PRELIM-1816284.pdf,619  In Stock,$12.89,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Laird-Connectivity/453-00041R?qs=vHuUswq2%2Bsw5H%2BzgA%2BE0lw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=453-00041R&utm_content=Laird-Connectivity,Bluetooth 5.1,Bluetooth Low Energy (BLE),"GPIO, I2C, I2S, SPI, UART, USB",8 dBm,1 Mb/s,- 95 dBm,2.402 GHz to 2.48 GHz,1.7 V to 5.5 V,- 40 C,+ 105 C,BL653,"Cut Tape, Reel",BLE,,,,,,
727-CYBT-333047-02,CYBT-333047-02,Cypress Semiconductor,https://www.cypress.com/file/464611/download,87  In Stock,$16.55,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Cypress-Semiconductor/CYBT-333047-02?qs=BJlw7L4Cy78WJz3CzwBCCg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CYBT-333047-02&utm_content=Cypress-Semiconductor,Bluetooth 5.0,"Class 1, Class 2","I2C, I2S, PCM, SPI, UART",9 dBm,4 Mb/s,- 96.5 dBm,2.4 GHz,2.3 V to 3.6 V,- 30 C,+ 85 C,,"Cut Tape, Reel",BLE,,,,,,
579-DM164146,DM164146,Microchip Technology,https://ru.mouser.com/datasheet/2/268/BM7071-XPro-User-Guide-DS50002891A-1845964.pdf,17  In Stock,$107.53,RoHS Compliant,New At Mouser,https://ru.mouser.com/ProductDetail/Microchip-Technology/DM164146?qs=mAH9sUMRCtvx2NAR7tRnKQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=DM164146&utm_content=Microchip-Technology,,,,,,,,,,,,,,,,,,,
239-451-00004,451-00004,Laird Connectivity,https://ru.mouser.com/datasheet/2/986/CS-PB-BL654-USB_NORDIC_ZEPHYR_v1_0-1649602.pdf,55  In Stock,$27.56,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Laird-Connectivity/451-00004?qs=%2B6g0mu59x7K6kyswQSpefw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=451-00004&utm_content=Laird-Connectivity,Bluetooth 5.0,Bluetooth Low Energy (BLE),"GPIO, I2C, I2S, SPI, UART, USB",8 dBm,2 Mb/s,- 92 dBm,,1.7 V to 3.6 V,- 40 C,+ 85 C,BL654,,Bluetooth,,,,,,
239-453-00039C,453-00039C,Laird Connectivity,https://ru.mouser.com/datasheet/2/986/CS-DS-BL653_v0_1_-_PRELIM-1816284.pdf,193  In Stock,$11.43,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Laird-Connectivity/453-00039C?qs=vHuUswq2%2Bsz1PRlEBlqeKA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=453-00039C&utm_content=Laird-Connectivity,Bluetooth 5.1,Bluetooth Low Energy (BLE),"GPIO, I2C, I2S, SPI, UART, USB",8 dBm,1 Mb/s,- 95 dBm,2.402 GHz to 2.48 GHz,1.7 V to 5.5 V,- 40 C,+ 105 C,BL653,Cut Tape,BLE,,,,,,
634-BGX13S22GA-V31,BGX13S22GA-V31,Silicon Labs,https://ru.mouser.com/datasheet/2/368/bgx13s-datasheet-1800115.pdf,246  In Stock,$13.46,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Silicon-Labs/BGX13S22GA-V31?qs=rkhjVJ6/3EIcinFaDj869A==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BGX13S22GA-V31&utm_content=Silicon-Labs,Bluetooth 5.0,Bluetooth Low Energy (BLE),Serial,8 dBm,2 Mb/s,- 93.8 dBm,2.4 GHz,3.6 V,- 40 C,+ 85 C,BGX13S,Tray,Bluetooth,,,,,,
634-BGM210L022JIF2,BGM210LA22JIF2,Silicon Labs,https://ru.mouser.com/datasheet/2/368/bgm210l-datasheet-1799976.pdf,79  In Stock,$19.11,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Silicon-Labs/BGM210LA22JIF2?qs=B6kkDfuK7/CTjdiw%2B/SpiA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BGM210LA22JIF2&utm_content=Silicon-Labs,,,,,,,2.4 GHz,,,,MGM210L,Cut Tape,,,"802.15.4 (ANT, Thread, Zigbee)",,,,
634-BGM210L022JNF2,BGM210LA22JNF2,Silicon Labs,https://ru.mouser.com/datasheet/2/368/bgm210l-datasheet-1799976.pdf,175  In Stock,$18.17,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Silicon-Labs/BGM210LA22JNF2?qs=B6kkDfuK7/B%2BX2mYvR6bIw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BGM210LA22JNF2&utm_content=Silicon-Labs,,,,,,,2.4 GHz,,,,MGM210L,Cut Tape,,,"802.15.4 (ANT, Thread, Zigbee)",,,,
634-MGM210L022JNF2,MGM210LA22JNF2,Silicon Labs,https://ru.mouser.com/datasheet/2/368/mgm210l-datasheet-1799971.pdf,257  In Stock,$19.95,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Silicon-Labs/MGM210LA22JNF2?qs=B6kkDfuK7/A6jkxYzaGrYg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=MGM210LA22JNF2&utm_content=Silicon-Labs,,,,,,,2.4 GHz,,,,MGM210L,Cut Tape,Bluetooth,,,,,,
