Obj,Pred,Subject
Land_Cruiser_200,a,Car
TOYOTA,a,Manufacturer
Land_Cruiser_200,Is_manufactured_by,TOYOTA
Land_Cruiser_200,Has_car_model_name,"Land Cruiser 200"
TOYOTA,Manufactures,Land_Cruiser_200
BMW,a,Manufacturer
BMW_X5,a,Car
BMW_X5,Is_manufactured_by,BMW
BMW_X5,Has_car_model_name,"BMW X5"
BMW,Manufactures,BMW_X5
BMW,Has_manufacturer_name,"BMW AG"
TOYOTA,Has_manufacturer_name,"Toyota Motor Corporation"
RAV4,a,Car
RAV4,Is_manufactured_by,TOYOTA
RAV4,Has_car_model_name,"RAV4"
RAV4_Temp_Sensor_is_broken,a,Way_to_fix
RAV4_Wires_are_broken,a,Way_to_fix
Temp_Sensor_is_broken,a,Fault
Wires_broken,a,Fault
Temp_Sensor_is_broken,Has_fault_description,"Неисправен датчик температуры охлаждающей жидкости"
Wires_broken,Has_fault_description,"Повреждение электрических проводов"
RAV4_Temp_Sensor_is_broken,Aims_to_fix,Temp_Sensor_is_broken
RAV4_Temp_Sensor_is_broken,Fits_with,RAV4
RAV4_Temp_Sensor_is_broken,How_to_fix,"Заменить датчик температуры охлаждающей жидкости"
RAV4_Wires_are_broken,Aims_to_fix,Wires_broken
RAV4_Wires_are_broken,Fits_with,RAV4
RAV4_Wires_are_broken,How_to_fix,"При наличии устранить короткие замыкания и обрывы проводов. Места контактов проводов и разъемы зачистить"
TOYOTA_RAV4_P0115,a,Fault_code
TOYOTA_RAV4_P0115,Has_code,"P0115"
TOYOTA_RAV4_P0115,Appears_on_a_car,RAV4
TOYOTA_RAV4_P0135,a,Fault_code
TOYOTA_RAV4_P0135,Has_code,"P0135"
TOYOTA_RAV4_P0135,Appears_on_a_car,RAV4
RAV4,Has_fault_codes,TOYOTA_RAV4_P0115
RAV4,Has_fault_codes,TOYOTA_RAV4_P0135
TODO1,a,Detecting
TODO2,a,Detecting
TODO1,Finds_out_fault,Temp_Sensor_is_broken
TODO1,Has_todo_description,"Проверить исправность датчика температуры"
TODO2,Finds_out_fault,Wires_broken
TODO2,Has_todo_description,"Проверка электрических проводов, относящихся к датчику температуры охлаждающей жидкости"
Symptom1,a,Symptoms
Symptom1,Have_fault_code,TOYOTA_RAV4_P0115
Symptom1,Tell_to_do,TODO1
Symptom1,Tell_to_do,TODO2
Symptom1,Occurs_on,RAV4
Symptom1,Has_symptoms_description,"Нет показаний индикатора температуры охлаждающей жидкости"
TOYOTA_RAV4_P0115,Has_fault_code_description,"Датчик температуры охлаждающей жидкости — неисправность электрической цепи"
TOYOTA_RAV4_P0135,Has_fault_code_description,"Подогреваемый кислородный датчик 1, банк 1, управление нагревателем — неисправность электрической цепи"
BMW_X5_P0115,a,Fault_code
BMW_X5_P0115,Appears_on_a_car,BMW_X5
BMW_X5_P0115,Has_fault_code_description,"Неисправность датчика температуры охлаждающей жидкости"
BMW_X5_P0115,Has_code,"P0115"